"Entity","Contact date","Contact type","Subject","Action of interest","City official(s)","Lobbyist(s)",
"Coalition of Communities of Color","11/19/2020","Telephone","Other: Portland Clean Energy Fund","Follow up with more information about the Portland Clean Energy Fund program and the PCEF Coalition. ","Diaz, Sam","Anissa Pemberton",
"Coalition of Communities of Color","11/09/2020","Virtual Meeting","Environment: natural","Meeting to discuss the City's Healthy Climate Air Pollution Fee proposal with organizations and advocates. ","Durbin, Andrea","Jenny Lee; Nikita Daryanani",
"Coalition of Communities of Color","12/08/2020","Virtual Meeting","Environment: natural","City/Community meeting to share updates on City's Climate + Air Quality Fee proposal and discuss community feedback. ","Durbin, Andrea","Nikita Daryanani",
"Coalition of Communities of Color","10/01/2020","Virtual Meeting","Other: Reimagine Oregon priorities for Black Oregon","Discussion of Reimagine Oregon platform and broad City equity issues","Baer, Jeff; Branam, Kimberly; Callahan, Shannon; Cozzie, Bob; Durbin, Andrea; Edwards, Elizabeth; Kinard, Jessica; Long, Adena; Lovell, Chuck; Myers, Mike; Perez, Elisabeth; Rhee, Suk; Rinehart, Tom; Solmer, Gabriel (Gabe); Warner Chris","Jenny Lee; Marcus Mundy",
"Coalition of Communities of Color","11/16/2020","Virtual Meeting","Environment: natural","Team meeting to prep for Andrea Durbin meeting","Durbin, Andrea; Watson, Amanda","Taren Evans",
"Coalition of Communities of Color","12/15/2020","Virtual Meeting","Environment: natural","Climate justice meeting","Watson, Amanda","Taren Evans",
"Coalition of Communities of Color","12/17/2020","Virtual Meeting","Environment: natural","Climate justice meeting","Watson, Amanda","Taren Evans",
"Coalition of Communities of Color","11/18/2020","Virtual Meeting","Environment: natural","Climate justice project meeting","Durbin, Andrea; Watson, Amanda","Taren Evans",
"Coalition of Communities of Color","10/21/2020","Telephone","Other: Charter review commission","Discussion of appointment process and need for equitable representation","Oswill, Andres","Jenny Lee",
"Columbia Corridor Association","12/04/2020","Virtual Meeting","Sustainable Development: energy","Discussion of the Bureau of Planning & Sustainability plans for air emissions reductions.","Schmanski, Sonia; Wheeler, Ted","Corky Collier",
"Columbia Corridor Association","11/20/2020","Virtual Meeting","Sustainable Development: energy","Discussion of the Bureau of Planning & Sustainability plans for air emissions reductions.","Durbin, Andrea","Corky Collier",
"Columbia Corridor Association","12/11/2020","Virtual Meeting","Sustainable Development: energy","Discussion of Bureau of Planning & Sustainability plans for air emissions reductions.","Bradley, Derek; Hardesty, Jo Ann","Bruce Johnson; Corky Collier; Victor Roehm",
"Columbia Corridor Association","12/22/2020","Telephone","Sustainable Development: energy","Bureau of Planning & Sustainability plans for air emissions reductions.","Bradley, Derek","Corky Collier",
"Lyft, Inc.","10/16/2020","Email","Other: Transportation","Statewide TNC Regulation","Edwards, Elizabeth","Amy Ruiz",
"Orange Barrel Media","10/09/2020","Telephone","Transportation: streets, sidewalks and street lighting","Kiosks","Warner Chris","Erik Sten",
"Orange Barrel Media","11/23/2020","Text Message","Transportation: streets, sidewalks and street lighting","Kiosks","Middaugh, Jim","Erik Sten",
"Oregon Health & Science University","11/12/2020","Meeting Preparation","Other: climate fee","exploring potential amendments so as not to disincentivize district energy systems","Durbin, Andrea","Michael Harrison",
"Oregon Health & Science University","11/13/2020","Virtual Meeting","Other: climate fee","Attended meeting between PBA and Mayor Wheeler and Ms. Durbin. Listened, did not speak.","Durbin, Andrea; Wheeler, Ted","Michael Harrison",
"Oregon Health & Science University","11/16/2020","Email","Other: climate fee","Email to Andrea Durbin regarding proposed climate fee - expressed concerns that it could disincentivize district energy systems","Durbin, Andrea","Abby Tibbs",
"Oregon Health & Science University","11/16/2020","Telephone","Other: Realigning S. Lowell Street","Called Kimberly Branam to request Prosper Portland transfer ROW to PBOT at no cost","Branam, Kimberly","Michael Harrison",
"Oregon Health & Science University","11/18/2020","Telephone","Other: Realigning S. Lowell Street","Called and left message for Mr. Warner to express concerns that S. Lowell might not be realigned - asked for meeting","Warner Chris","Michael Harrison",
"Oregon Health & Science University","11/18/2020","Email","Other: climate fee","Sent email to city council and their staff, as well as BPS staff, to explain how OHSU's district energy system results in higher fees than distributed systems.","Crail, Tim; Dennis, Kristin; Durbin, Andrea; Edwards, Karly; Eudaly, Chloe; Fritz, Amanda; Hardesty, Jo Ann; Runkel, Marshall; Ryan, Dan; Schmanski, Sonia; Torres, Kellie; Wheeler, Ted","Michael Harrison",
"Oregon Health & Science University","11/18/2020","Email","Other: climate fee","Responding to question of Commissioner Fritz, explaining why our emissions are at the level reported in the city's spreadsheet","Bradley, Derek; Fritz, Amanda","Michael Harrison",
"Oregon Health & Science University","11/23/2020","Meeting Preparation","Other: climate fee","Prep for meeting with Ms. Durbin.","Durbin, Andrea","Abby Tibbs; Michael Harrison",
"Oregon Health & Science University","11/24/2020","Meeting Preparation","Other: climate fee","Prep for meeting with Ms. Durbin","Durbin, Andrea","Michael Harrison",
"Oregon Health & Science University","11/24/2020","Virtual Meeting","Other: climate fee","Meeting with Andrea Durbin to discuss city's proposed climate fee and potential amendments to avoid disincentivizing district energy systems.","Durbin, Andrea","Abby Tibbs; Michael Harrison",
"Oregon Health & Science University","12/07/2020","Virtual Meeting","Other: Realigning S. Lowell Street","Called to urge Mr. Warner to realign Lowell","Warner Chris","Michael Harrison",
"Oregon Health & Science University","12/08/2020","Email","Other: climate fee","Email discussing potential amendments","Durbin, Andrea","Michael Harrison",
"Oregon Health & Science University","12/09/2020","Virtual Meeting","Other: climate fee","Attended meeting organized by BPS regarding the Climate Fee. Other attendees were campus-based institutions. Discussed potential amendments.","Durbin, Andrea","Michael Harrison",
"Oregon Health & Science University","12/09/2020","Telephone","Other: Realigning S. Lowell Street","Request to realign Lowell Street.","Schmanski, Sonia","Michael Harrison",
"Oregon Health & Science University","12/10/2020","Email","Other: climate fee","Amendment discussion ","Durbin, Andrea","Michael Harrison",
"Oregon Museum of Science and Industry ","10/20/2020","Email","Development Services","OMSI Redevelopment Introductory Meeting ","Gadberry, Elizabeth","Rachael Wiggins Emory",
"Oregon Museum of Science and Industry ","12/07/2020","Virtual Meeting","Development Services","OMSI Redevelopment Introductory Meeting ","Montez, Chariti; Ryan, Dan","Dan Bates; Erin Graham; Nancy Stueber; Preston Greene; Rachael Wiggins Emory",
"Oregon Museum of Science and Industry ","12/02/2020","Virtual Meeting","Development Services","OMSI Redevelopment Check In ","Branam, Kimberly","Erin Graham",
"Oregon Museum of Science and Industry ","12/03/2020","Telephone","Development Services","OMSI Redevelopment Check In ","Watson, Amanda","Rachael Wiggins Emory",
"Oregon Museum of Science and Industry ","12/18/2020","Telephone","Other: CARES Funding","Availability for funding for larger nonprofits ","Diaz, Sam","Rachael Wiggins Emory",
"Oregon Smart Growth","10/07/2020","Email","Housing and Community Development","Permitting, COVID, Hyatt Place, Alamo Manhattan, relocation assistance, tree code, inclusionary housing, e-zone/floodplain maps, historic resources","Blair, Aja; Diaz, Sam; Wheeler, Ted; Williams, Tia","Michelle Plambeck",
"Oregon Smart Growth","10/07/2020","Telephone","Housing and Community Development","Permitting/COVID","Williams, Tia","Michelle Plambeck",
"Oregon Smart Growth","10/07/2020","Email","Housing and Community Development","Permitting, COVID, Hyatt Place, Alamo Manhattan, relocation assistance, tree code, inclusionary housing, e-zone/floodplain maps, historic resources","Gadberry, Elizabeth; Torres, Kellie","Michelle Plambeck",
"Oregon Smart Growth","10/07/2020","Email","Housing and Community Development","Permitting, COVID, Hyatt Place, Alamo Manhattan, relocation assistance, tree code, inclusionary housing, e-zone/floodplain maps, historic resources","Edwards, Karly; Hardesty, Jo Ann","Michelle Plambeck",
"Oregon Smart Growth","10/07/2020","Email","Housing and Community Development","Permitting, COVID, Hyatt Place, Alamo Manhattan, relocation assistance, tree code, inclusionary housing, e-zone/floodplain maps, historic resources","Eudaly, Chloe; Runkel, Marshall","Michelle Plambeck",
"Oregon Smart Growth","10/07/2020","Email","Housing and Community Development","Permitting, COVID, Hyatt Place, Alamo Manhattan, relocation assistance, tree code, inclusionary housing, e-zone/floodplain maps, historic resources","Crail, Tim; Fritz, Amanda","Michelle Plambeck",
"Oregon Smart Growth","10/08/2020","Virtual Meeting","Housing and Community Development","Permitting, COVID","Diaz, Sam; Montez, Chariti; Ryan, Dan; Torres, Kellie; Wheeler, Ted; Williams, Tia","Amy Ruiz; Gwenn A Baldwin; Michelle Plambeck",
"Oregon Smart Growth","10/08/2020","Virtual Meeting","Water","Title 21 amendments","Solmer, Gabriel (Gabe)","Michelle Plambeck",
"Oregon Smart Growth","10/08/2020","Email","Housing and Community Development","Permitting ","Montez, Chariti","Michelle Plambeck",
"Oregon Smart Growth","10/08/2020","Text Message","Housing and Community Development","Permitting work session, building permit extension","Diaz, Sam; Williams, Tia","Amy Ruiz; Michelle Plambeck",
"Oregon Smart Growth","10/13/2020","Telephone","Housing and Community Development","Permitting","Diaz, Sam","Michelle Plambeck",
"Oregon Smart Growth","10/14/2020","Text Message","Housing and Community Development","Follow up on Shelter to Housing Continuum and coalition 10-point action plan letter for housing production","Diaz, Sam","Michelle Plambeck",
"Oregon Smart Growth","10/19/2020","Text Message","Housing and Community Development","MULTE op-in program extension","Diaz, Sam","Michelle Plambeck",
"Oregon Smart Growth","10/22/2020","Text Message","Housing and Community Development","MULTE op-in program extension","Diaz, Sam","Michelle Plambeck",
"Oregon Smart Growth","10/20/2020","Virtual Meeting","Business and Economic Development","Public safety/budget","King, Robert","Michelle Plambeck",
"Oregon Smart Growth","10/29/2020","Email","Planning","Tree code amendments","Diaz, Sam; Montez, Chariti","Amy Ruiz; Michelle Plambeck",
"Oregon Smart Growth","10/29/2020","Email","Planning","Tree code amendments","Diaz, Sam; Montez, Chariti; Oswill, Andres; Runkel, Marshall","Amy Ruiz",
"Oregon Smart Growth","10/29/2020","Text Message","Planning","Tree code amendments","Diaz, Sam","Amy Ruiz",
"Oregon Smart Growth","10/29/2020","Telephone","Planning","Tree code amendments","Montez, Chariti","Amy Ruiz",
"Oregon Smart Growth","10/29/2020","Telephone","Planning","Tree code amendments","Runkel, Marshall","Amy Ruiz",
"Oregon Smart Growth","10/29/2020","Text Message","Planning","Tree code amendments","Runkel, Marshall","Amy Ruiz",
"Oregon Smart Growth","11/30/2020","Email","Housing and Community Development","Permitting, COVID, Hyatt Place, Alamo Manhattan, relocation assistance, tree code, inclusionary housing, e-zone/floodplain maps, historic resources","Bond, Mark; Montez, Chariti","Michelle Plambeck",
"Oregon Smart Growth","11/30/2020","Email","Housing and Community Development","Permitting, COVID, Hyatt Place, Alamo Manhattan, relocation assistance, tree code, inclusionary housing, e-zone/floodplain maps, historic resources","Lujan-Valerio, Ricardo","Michelle Plambeck",
"Oregon Smart Growth","11/30/2020","Text Message","Development Services","Permitting","Diaz, Sam","Michelle Plambeck",
"Oregon Smart Growth","11/30/2020","Text Message","Housing and Community Development","Oregon Smart Growth Board meeting","Lujan-Valerio, Ricardo","Michelle Plambeck",
"Oregon Smart Growth","12/02/2020","Virtual Meeting","Other: Development Services, Planning","Permitting work session and work group, Portland Sustainability Commission appointments","Bond, Mark; Diaz, Sam","Amy Ruiz; Michelle Plambeck",
"Oregon Smart Growth","12/04/2020","Virtual Meeting","Development Services","Follow-up to permitting/housing production 10 point action plan letter ","Lujan-Valerio, Ricardo; Mapps, Mingus; Meyer, Katie; Rubio, Carmen","Amy Ruiz; Gwenn A Baldwin; Michelle Plambeck",
"Oregon Smart Growth","12/08/2020","Virtual Meeting","Development Services","Permitting, COVID, Hyatt Place, Alamo Manhattan, relocation assistance, tree code, inclusionary housing, e-zone/floodplain maps, historic resources","Meyer, Katie","Michelle Plambeck",
"Oregon Smart Growth","12/11/2020","Virtual Meeting","Development Services","BDS budget/staff furloughs","Esau, Rebecca","Amy Ruiz; Michelle Plambeck",
"Portland Business Alliance","10/12/2020","Telephone","Neighborhood Livability: general","Street trees/livability","Warner Chris","Andrew Hoan",
"Portland Business Alliance","10/12/2020","Telephone","Police and Public Safety","Public safety event planning","Lovell, Chuck","Andrew Hoan",
"Portland Business Alliance","10/14/2020","Telephone","Business and Economic Development","Rethinking Portland/economic vitality","Hardesty, Jo Ann","Andrew Hoan",
"Portland Business Alliance","10/21/2020","Telephone","Police and Public Safety","Police accountability measure","Ryan, Dan","Andrew Hoan",
"Portland Business Alliance","10/26/2020","Telephone","Other: Pending legislation","Budget and Title 21 proposed updates","Hardesty, Jo Ann","Andrew Hoan",
"Portland Business Alliance","10/28/2020","Telephone","Business and Economic Development","Greater Portland strategic call","Branam, Kimberly","Andrew Hoan",
"Portland Business Alliance","10/29/2020","Telephone","Planning","2021 budget planning","Ryan, Dan","Andrew Hoan",
"Portland Business Alliance","11/12/2020","Telephone","Environment: natural","Carbon tax proposal","Hardesty, Jo Ann","Andrew Hoan",
"Portland Business Alliance","11/23/2020","Telephone","Housing and Community Development","Homeless services discussion","Ryan, Dan","Andrew Hoan",
"Portland Business Alliance","11/03/2020","Telephone","Other: General check in","General check-in and planning conversation","Wheeler, Ted","Andrew Hoan",
"Portland Business Alliance","11/09/2020","Telephone","Other: General check in","Second term congratulations","Wheeler, Ted","Andrew Hoan",
"Portland Business Alliance","11/11/2020","Telephone","Environment: natural","City of Portland proposed carbon tax","Wheeler, Ted","Andrew Hoan",
"Portland Business Alliance","11/12/2020","Telephone","Environment: natural","City of Portland proposed carbon tax","Wheeler, Ted","Andrew Hoan",
"Portland Business Alliance","11/17/2020","Telephone","Environment: natural","City of Portland proposed carbon tax","Wheeler, Ted","Andrew Hoan",
"Portland Business Alliance","11/29/2020","Telephone","Business and Economic Development","Prosper Portland grant funding/East County","Branam, Kimberly","Andrew Hoan",
"Portland Business Alliance","11/18/2020","Telephone","Business and Economic Development","Commercial evictions","Branam, Kimberly","Andrew Hoan",
"Portland Business Alliance","12/14/2020","Text Message","Housing and Community Development","Homeless services discussion","Ryan, Dan","Andrew Hoan",
"Portland Business Alliance","10/01/2020","Telephone","Transportation: streets, sidewalks and street lighting","Transportation planning","Warner Chris","Jon Isaacs",
"Portland Business Alliance","10/08/2020","Virtual Meeting","Other: Pending legislation","Title 21 proposed updates","Solmer, Gabriel (Gabe)","Jon Isaacs",
"Portland Business Alliance","10/20/2020","Virtual Meeting","Business and Economic Development","Economic recovery agenda","Branam, Kimberly; Hardesty, Jo Ann; Wheeler, Ted","Jon Isaacs",
"Portland Business Alliance","10/28/2020","Virtual Meeting","Police and Public Safety","Membership meet and greet/downtown security","Lovell, Chuck","Amy Rathfelder; Andrew Hoan; Jon Isaacs",
"Portland Business Alliance","11/05/2020","Telephone","Other: Check in and planning","Personnel check in","Schmanski, Sonia","Jon Isaacs",
"Portland Business Alliance","11/18/2020","Telephone","Environment: natural","City of Portland proposed carbon tax","Durbin, Andrea","Jon Isaacs",
"Portland Business Alliance","11/20/2020","Virtual Meeting","Environment: natural","City of Portland proposed carbon tax","Durbin, Andrea","Jon Isaacs",
"Portland Business Alliance","12/02/2020","Telephone","Environment: natural","City of Portland proposed carbon tax","Durbin, Andrea","Jon Isaacs",
"Portland Business Alliance","11/16/2020","Virtual Meeting","Other: Check in and planning","General policy planning discussion","Wheeler, Ted","Andrew Hoan; Jon Isaacs",
"Portland Business Alliance","12/10/2020","Virtual Meeting","Environment: natural","City of Portland proposed carbon tax","Durbin, Andrea","Amy Rathfelder; Andrew Hoan; Jon Isaacs",
"Portland Business Alliance","10/09/2020","Telephone","Police and Public Safety","Police accountability measure","Hardesty, Jo Ann","Andrew Hoan",
"Portland Business Alliance","11/10/2020","Telephone","Environment: natural","City of Portland proposed carbon tax","Durbin, Andrea","Andrew Hoan",
"Portland Business Alliance","12/11/2020","Telephone","Planning","Meeting prep call","Rinehart, Tom","Andrew Hoan",
"Portland Business Alliance","10/05/2020","Personal Meeting","Other: Welcome","Welcoming Commissioner Ryan to City Council","Ryan, Dan; Torres, Kellie","Amy Rathfelder; Andrew Hoan; Jon Isaacs",
"Portland Business Alliance","10/08/2020","Telephone","Planning","Scheduling call","Tran, Khanh","Amy Rathfelder",
"Portland Business Alliance","10/16/2020","Virtual Meeting","Neighborhood Livability: general","Proposed updates to City Code Title 21","Diaz, Sam","Amy Rathfelder",
"Portland Business Alliance","10/23/2020","Virtual Meeting","Neighborhood Livability: general","Proposed updates to Titles 11 and 21--Council planning","Bradley, Derek","Amy Rathfelder; Jon Isaacs",
"Portland Business Alliance","11/13/2020","Virtual Meeting","Environment: natural","Clean Air, Healthy Climate Fee BPS Proposal","Durbin, Andrea; Schmanski, Sonia; Wheeler, Ted","Amy Rathfelder; Andrew Hoan; Jon Isaacs",
"Portland Business Alliance","11/17/2020","Virtual Meeting","Business and Economic Development","Economic Recovery Task Force meeting","Branam, Kimberly; Rinehart, Tom; Wheeler, Ted","Amy Rathfelder",
"Portland Business Alliance","11/20/2020","Virtual Meeting","Business and Economic Development","City of Portland Carbon Tax proposal, upcoming business priorities","Dennis, Kristin; Schmanski, Sonia; Tran, Khanh; Wheeler, Ted","Amy Lewin; Amy Rathfelder; Andrew Hoan; Jon Isaacs; Maureen Fisher",
"Portland Business Alliance","11/23/2020","Telephone","Neighborhood Livability: general","Title 11 proposed updates","Diaz, Sam","Amy Rathfelder",
"Portland Business Alliance","12/02/2020","Telephone","Planning","Scheduling call","Blair, Aja","Amy Rathfelder",
"Portland Business Alliance","12/03/2020","Virtual Meeting","Environment: natural","City of Portland proposed Clean Air, Healthy Climate fee","Durbin, Andrea","Amy Rathfelder; Andrew Hoan; Jon Isaacs",
"Portland Business Alliance","12/11/2020","Virtual Meeting","Development Services","BDS budget/potential layoffs","Esau, Rebecca","Amy Rathfelder",
"Portland Business Alliance","12/16/2020","Personal Meeting","Business and Economic Development","General check-in, policy priorities for second term","Schmanski, Sonia; Wheeler, Ted","Amy Rathfelder; Andrew Hoan; Jon Isaacs",
"Portland Business Alliance","12/18/2020","Virtual Meeting","Business and Economic Development","Livability, downtown revitalization, second term priorities","Dennis, Kristin; Schmanski, Sonia; Tran, Khanh; Wheeler, Ted","Amy Lewin; Amy Rathfelder; Andrew Hoan; Jon Isaacs; Maureen Fisher",
"Portland Business Alliance","10/02/2020","Telephone","Other: Check in and planning","Personnel updates","Wheeler, Ted","Andrew Hoan",
"Portland Business Alliance","10/07/2020","Telephone","Police and Public Safety","Police Accountability Measure","Hardesty, Jo Ann","Andrew Hoan",
"Portland Metropolitan Association of Realtors","10/16/2020","Virtual Meeting","Other: tree code","Title 11 & Title 21","Diaz, Sam; Williams, Tia","Michele Gila",
"Portland Metropolitan Association of Realtors","10/22/2020","Virtual Meeting","Other: tree code","Title 11 & title 21","Runkel, Marshall","Michele Gila",
"Portland Metropolitan Association of Realtors","10/23/2020","Virtual Meeting","Other: tree code","Title 11 & Title 21","Bradley, Derek","Michele Gila",
"Portland Metropolitan Association of Realtors","10/14/2020","Virtual Meeting","Other: tree code","title 21 & title 11","Solmer, Gabriel (Gabe)","Michele Gila",
"Skinny Labs, Inc. dba Spin","12/21/2020","Personal Meeting","Transportation: streets, sidewalks and street lighting","E-scooter Pilot Program","Diaz, Sam; Schmanski, Sonia; Watson, Amanda","Dan Bates; Phuong Bui; Rachael Wiggins Emory; Tim Alborg",
"Skinny Labs, Inc. dba Spin","12/20/2020","Meeting Preparation","Transportation: streets, sidewalks and street lighting","E-scooter Pilot Program","Diaz, Sam; Schmanski, Sonia","Phuong Bui",
"Skinny Labs, Inc. dba Spin","11/30/2020","Email","Other: Introductory meeting with Spin members","Scooter Regulation","Blair, Aja; Gadberry, Elizabeth; Martin, Lyne","Rachael Wiggins Emory",
"Skinny Labs, Inc. dba Spin","12/02/2020","Email","Other: Introductory meeting with Spin members","Scooter Regulation","Diaz, Sam; Schmanski, Sonia","Rachael Wiggins Emory",
"Skinny Labs, Inc. dba Spin","12/10/2020","Email","Other: Introductory meeting with Spin members","Scooter Regulation","Bond, Mark","Rachael Wiggins Emory",
"Skinny Labs, Inc. dba Spin","10/14/2020","Meeting Preparation","Transportation: streets, sidewalks and street lighting","Dockless mobility","Eudaly, Chloe; Fritz, Amanda; Hardesty, Jo Ann; Ryan, Dan; Wheeler, Ted","Tim Alborg",
"Verizon","10/12/2020","Email","Business and Economic Development","Skyward proposed North Portland Facility","Montez, Chariti","Michelle Plambeck",
"Verizon","10/12/2020","Email","Business and Economic Development","Skyward proposed North Portland Facility","Tran, Khanh; Washington, Mustafa; Williams, Tia","Michelle Plambeck",
"Verizon","10/09/2020","Email","Business and Economic Development","franchise agreement","Perez, Elisabeth","Michelle Plambeck",
"Verizon","11/11/2020","Virtual Meeting","Business and Economic Development","franchise agreement","Oswill, Andres; Runkel, Marshall","Alex M. Leupp ; Michelle Plambeck",
"Verizon","11/16/2020","Virtual Meeting","Business and Economic Development","franchise agreement","Oswill, Andres","Alex M. Leupp ; Michelle Plambeck",
"Verizon","11/09/2020","Telephone","Business and Economic Development","Skyward proposed North Portland Facility; Franchise agreement","Tran, Khanh","Michelle Plambeck",
"Verizon","11/30/2020","Email","Business and Economic Development","franchise agreement","Perez, Elisabeth","Alex M. Leupp ; Michelle Plambeck",
"Verizon","12/02/2020","Email","Business and Economic Development","franchise agreement","Perez, Elisabeth","Alex M. Leupp ; Michelle Plambeck",
"Verizon","12/04/2020","Email","Business and Economic Development","franchise agreement","Perez, Elisabeth","Alex M. Leupp ; Michelle Plambeck",
"Verizon","12/10/2020","Email","Business and Economic Development","franchise agreement","Perez, Elisabeth","Alex M. Leupp ; Michelle Plambeck",
"Verizon","12/11/2020","Email","Business and Economic Development","franchise agreement","Perez, Elisabeth","Alex M. Leupp ; Michelle Plambeck",
"Verizon","12/29/2020","Email","Business and Economic Development","franchise agreement","Perez, Elisabeth","Alex M. Leupp ; Michelle Plambeck",
"Verizon","10/22/2020","Telephone","Business and Economic Development","Skyward proposed North Portland Facility","Tran, Khanh","Michelle Plambeck",
"Verizon","10/26/2020","Virtual Meeting","Business and Economic Development","franchise agreement","Perez, Elisabeth","Alex M. Leupp ; Michelle Plambeck",
"Verizon","10/12/2020","Email","Business and Economic Development","Skyward proposed North Portland Facility","Duhamel, Jamey; Oswill, Andres","Michelle Plambeck",
"Verizon","10/14/2020","Email","Business and Economic Development","Skyward proposed North Portland Facility","Montez, Chariti","Michelle Plambeck",
"Verizon","10/12/2020","Email","Business and Economic Development","Skyward proposed North Portland Facility","Crail, Tim; Fritz, Amanda","Michelle Plambeck",
"Verizon","10/12/2020","Email","Business and Economic Development","Skyward proposed North Portland Facility","Bradley, Derek","Michelle Plambeck",
