"Entity","Contact date","Contact end date","Contact type(s)","Subject","Action of interest","City official(s)","Lobbyist(s)",
"ACLU of Oregon, Inc.","01/01/2026","03/31/2026","Communication Preparation; Email; Goodwill Building (non-lobbying); Meeting Preparation; Personal Meeting; Social Media; Telephone; Text Message; Virtual Meeting","Other: democracy, civil liberties, civil rights","Updates related to potential federal abuse of power","Adam Murray; Aisling Coghlan; Alan DeLaTorre; Amani Kelekele; Andre Miller; Angelita Morillo; Aubri Qian; Ava Atwood; Bob Cozzie; Brenda Alvarado; Candace Avalos; Cara Althoff; Christian Aguinaga ; Christopher Van Velden; Dan Ryan; Daniel Lewkow; Danny Cage; Devin Mullins; Devyn Melnychuk; Eben Hoffer; Edna Aguirre Velazquez; Elana Pirtle-Guiney; Elijah Crawford; Ella Hutcherson; Emily Aneja; Emma Jenson; Eric Zimmerman; Erik Dean; Gloria Ochoa-Sandoval; Jacq Tjaden; Jacque Dixon; Jamey Evenstar; Jamie Dunphy; Jamie Dunphy; Jeffrey Lynott; Jimmy Radosta; Joel Corcoran; Jordan Wiley; Katie Shriver; Keith Wilson; Kezia Wanner; Kristin Johnson; Lauren Jin; Lisa Freeman; Loretta Smith; Lorne Bulling; Luke Zak; Mac Acuay; Madeline West; Malynda Valentine; Maria Sipin; Mary Li; Megan Beyer; Mitch Green; Olivia Clark; Pierre Jury; Raymond Lee; Ristom Habtemariam; Robert Day; Ruth Campbell; Ryan Nielsen; Sabina Urdes; Sameer Kanal; Shaniqua Henry-Davis; Shully Wasserstrom; Sofia Diffee; Spencer Knowles; Steve Novick; Suzy Deuster; Tali Reed; Taylor Zajonic; Tiffany Koyama Lane; Trevor Adams; Will Mespelt; Zach Ward","Alyssa Keller; Jessica Maravilla; Sandy Chung",
"ACLU of Oregon, Inc.","01/01/2026","03/31/2026","Communication Preparation; Email; Goodwill Building (non-lobbying); Meeting Preparation; Personal Meeting; Telephone; Text Message; Virtual Meeting","Other: Homelessness","Meetings and updates about City policies and processes impacting unhoused community","Alan DeLaTorre; Aubri Qian; Candace Avalos; Cara Althoff; Sofia Diffee; Tiffany Koyama Lane","Alyssa Keller; Jessica Maravilla; Michael Abrams; Sandy Chung",
"ACLU of Oregon, Inc.","01/01/2026","03/31/2026","Email; Goodwill Building (non-lobbying); Meeting Preparation; Personal Meeting; Telephone; Virtual Meeting","Other: Immigrant & Refugee Rights","Updates about immigrant and refugee related rights and impacts of federal administration","Aisling Coghlan; Andre Miller; Angelita Morillo; Brenda Alvarado; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Keith Wilson; Lisa Freeman; Loretta Smith; Mary Li; Mitch Green; Olivia Clark; Raymond Lee; Robert Day; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Alyssa Keller; Jessica Maravilla; Sandy Chung",
"ACLU of Oregon, Inc.","01/01/2026","03/31/2026","Committee Meeting; Communication Preparation; Email; Goodwill Building (non-lobbying); Indirect Lobbying; Meeting Preparation; Personal Meeting; Social Media; Telephone; Text Message; Virtual Meeting","Police and Public Safety","Support for City of Portland's unmasking for law enforcement policy","Angelita Morillo; Jacq Tjaden; Lisa Freeman; Mac Acuay; Sameer Kanal; Steve Novick","Ethan Krow; Jessica Maravilla; Mariana Garcia Medina; Michael Abrams; Sandy Chung",
"Alliance for a Safe Oregon","01/08/2026","03/23/2026","Committee Meeting; Communication Preparation; Personal Meeting; Virtual Meeting","Other: Community Violence Intervention","Lobbying city officials asking for funding for Community Violence Intervention - this is work that prevents gun violence, primarily in communities of color.","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Kristopher Taft; Mitch Green; Sameer Kanal; Stephanie Howard; Tiffany Koyama Lane","Amie Wexler; Asianique Savage",
"Braided River Campaign","01/05/2026","01/06/2026","Email","Planning","Wrote and sent letter to Director Engstrom and Chair Routh asking for an extension of public comment period for EOA/CCIL at Planning Commission","Eric Engstrom; Steph Routh","Marnie Glickman",
"Braided River Campaign","01/22/2026","","Personal Meeting","Planning","We met for an informal discussion about how the Sustainability Commission operates and whether they are interested in the EOA, CEI Hub, and CCIL.","Vivian Satterfield","Marnie Glickman",
"Braided River Campaign","01/26/2026","02/03/2026","Email","Planning","Wrote and sent comments to Planning Commission on behalf of a coalition of 31 community groups re the EOA and CCIL.","Brian Ames; Eli Spevak; Erica Thompson; Steph Routh","Marnie Glickman",
"Braided River Campaign","02/13/2026","","Telephone","Other: Council governance","Conversation about new committees and their scopes of work","Jamie Dunphy","Marnie Glickman",
"Braided River Campaign","02/20/2026","","Personal Meeting","Planning","EOA, CCIL, CEI Hub policy, and North Reach Plan","Elana Pirtle-Guiney","Marnie Glickman",
"Braided River Campaign","02/23/2026","03/02/2026","Email","Fire, Rescue and Emergency Services","Wrote and sent letter to Mayor and all 12 councilors requesting budget item for vulnerable people who live and work near the CEI Hub. ","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Keith Wilson; Loretta Smith; Mitch Green; Olivia Clark; Raymond Lee; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Marnie Glickman",
"Braided River Campaign","03/31/2026","","Indirect Lobbying","Planning","Had a brief discussion at an event about CEI Hub policy and scheduling a meeting with Councilor Clark","Jimmy Radosta","Marnie Glickman",
"Breach Collective","01/13/2026","03/28/2026","Committee Meeting; Communication Preparation; Email; Meeting Preparation; Personal Meeting; Telephone","Sustainable Development: energy","PCEF Climate Investment Plan","Angelita Morillo; Candace Avalos; Dan Ryan; Maria Sipin; Mitch Green; Sameer Kanal; Steve Novick","Danny Noonan",
"Breach Collective","01/22/2026","03/10/2026","Telephone","Sustainable Development: energy","Critical Energy Infrastructure Hub Policy Process","Angelita Morillo; Maria Sipin","Nicholas Caleb",
"Breach Collective","01/28/2026","","Telephone","Environment: natural","Tear Gas Ordinance","Jacq Tjaden","Nicholas Caleb",
"Breach Collective","02/03/2026","","Personal Meeting","Environment: natural","Collaborative Climate Roadmap","Maria Sipin; Mitch Green","Nicholas Caleb",
"Breach Collective","02/04/2026","03/06/2026","Personal Meeting; Telephone","Business and Economic Development","Moda Center Renovation","Angelita Morillo; Tiffany Koyama Lane","Nicholas Caleb",
"Breach Collective","02/11/2026","","Telephone","Sustainable Development: energy","Oil Industry Immunity ","Angelita Morillo","Nicholas Caleb",
"Breach Collective","02/13/2026","","Telephone","Other: City Council Governance","City Council Committee Structure","Angelita Morillo; Mitch Green","Nicholas Caleb",
"Breach Collective","02/19/2026","03/18/2026","Telephone","Sustainable Development: energy","Zenith Energy Franchise Agreement Investigation","Maria Sipin; Mitch Green; Suzy Deuster","Nicholas Caleb",
"Breach Collective","02/23/2026","02/25/2026","Telephone","Environment: natural","Detention Facility Fee Ordinance","Christian Aguinaga ; Tiffany Koyama Lane","Nicholas Caleb",
"Breach Collective","03/02/2026","","Email","Environment: natural","No Fossil Fuel Immunity Resolution","Zach Ward","Nicholas Caleb",
"Breach Collective","03/11/2026","","Telephone","Police and Public Safety","Masking Ban","Lisa Freeman","Nicholas Caleb",
"Coalition of Communities of Color","01/07/2026","01/27/2026","Email; Personal Meeting","Environment: natural","Invited & Councilor Kanal attended a community workshop on critical energy infrastructure hub to hear from community members.","Mac Acuay; Sameer Kanal","Nikita Daryanani; Santi Sanchez; Taren Evans",
"Coalition of Communities of Color","01/16/2026","03/31/2026","Communication Preparation; Email; Meeting Preparation; Personal Meeting; Virtual Meeting","Environment: natural","Provided feedback on policy and community engagement and in support of climate, health, and building standards.","Candace Avalos; Lauren Jin; Sofia Diffee; Steve Novick","Jenny Lee; Marcus Mundy; Nikita Daryanani; Taren Evans",
"Coalition of Communities of Color","01/26/2026","03/05/2026","Communication Preparation; Telephone","Business and Economic Development","Advocated that any Portland Clean Energy Fund dollars for Moda Center renovation must align with the fund's goals of environmental justice","Donnie Oliveira","Jenny Lee; Marcus Mundy",
"Coalition of Communities of Color","01/26/2026","","Personal Meeting","Environment: natural","Discussion of support for Portland Clean Energy Fund and environmental justice work.","Mac Acuay","Marcus Mundy",
"Coalition of Communities of Color","01/29/2026","03/29/2026","Communication Preparation; Telephone","Financial Administration and Management","Advocated for passage of City Data Office ordinance.","Loretta Smith","Marcus Mundy; Mira Mohsini",
"Coalition of Communities of Color","02/05/2026","","Telephone","Business and Economic Development","Discussed possibility of joining Financial Stabilization Committee.","Donnie Oliveira","Marcus Mundy",
"Coalition of Communities of Color","02/12/2026","03/12/2026","Personal Meeting","Other: City operations","Provided feedback on improving transition to new form of government for efficiency and equity.","Raymond Lee","Marcus Mundy",
"Coalition of Communities of Color","02/17/2026","","Personal Meeting","Other: City and bureau administration","Provided feedback on transition process and Prosper Portland operations.","Cornell Wesley","Marcus Mundy",
"Coalition of Communities of Color","02/20/2026","03/15/2026","Meeting Preparation; Personal Meeting","Other: Transportation and environmental impact","Discussed role of transportation in the Portland Clean Energy Fund","Spencer Knowles; Steve Novick","Jenny Lee; Marcus Mundy",
"Coalition of Communities of Color","02/25/2026","03/25/2026","Personal Meeting","Other: Procurement, environment, civic life programs","Introductory meeting to our coalition members, discussed improvements to procurement, Portland Clean Energy Fund, and Diversity & Civic Leadership programs","Raymond Lee","Jenny Lee; Marcus Mundy",
"Coalition of Communities of Color","03/02/2026","03/10/2026","Meeting Preparation; Personal Meeting","Housing and Community Development","Advocated to maintain funding for housing in amendments to the Climate Investment Plan","Spencer Knowles; Steve Novick","Jenny Lee",
"Coalition of Communities of Color","03/03/2026","","Personal Meeting","Other: Procurement, environment, civic life","Advocated for improvements to contracting and grantmaking processes for Diversity and Civic Leadership and Portland Clean Energy Fund.","Sylvester Donelson, Jr","Marcus Mundy",
"Coalition of Communities of Color","03/10/2026","","Personal Meeting","Police and Public Safety","Shared opinion on community safety and policing issues, including funding from Portland Clean Energy Fund","Robert Day","Marcus Mundy",
"Coalition of Communities of Color","03/14/2026","","Telephone","Housing and Community Development","Advocated for funding for housing investments and emergency rent assistance","Loretta Smith","Marcus Mundy",
"Coalition of Communities of Color","03/16/2026","","Telephone","Police and Public Safety","Discussed support for law enforcement mask ban","Sameer Kanal","Marcus Mundy",
"Columbia Corridor Association","01/06/2026","","Personal Meeting","Planning","Economic Opportunities Analysis alternative action concepts.","Dan Ryan","Corky Collier",
"Columbia Corridor Association","01/12/2026","","Email","Business and Economic Development","follow up on Councilor Ryan's request for economic data","Dan Ryan","Corky Collier",
"Columbia Corridor Association","01/12/2026","","Email","Planning","request for a meeting on the Economic Opportunities Analysis","Olivia Clark","Corky Collier",
"Columbia Corridor Association","01/12/2026","","Email","Planning","request meeting on the economic opportunities analysis","Donnie Oliveira","Corky Collier",
"Columbia Corridor Association","01/14/2026","","Email","Business and Economic Development","asking Raymond Lee to speak at CCA event","Millicent Williams","Corky Collier",
"Columbia Corridor Association","02/27/2026","","Goodwill Building (non-lobbying)","Business and Economic Development","CCA Annual Meeting","Raymond Lee","Corky Collier; Victor Roehm",
"Columbia Corridor Association","03/11/2026","","Committee Meeting","Neighborhood Livability: general","Neighborhood association meeting on environmental zone overlays.","Dan Ryan","Corky Collier",
"Columbia Corridor Association","03/20/2026","","Personal Meeting","Business and Economic Development","Understand the environmental zone overlays on Hayden Island and a visit to Schooner Creek Boat Works","Dan Ryan","Corky Collier",
"Commercial Real Estate Collaborative","01/08/2026","","Text Message","Housing and Community Development","IH bill at committee","Lorne Bulling","Amy Ruiz",
"Commercial Real Estate Collaborative","01/13/2026","","Text Message","Housing and Community Development","inclusionary housing bill","Dan Ryan","Amy Ruiz",
"Commercial Real Estate Collaborative","01/13/2026","","Telephone","Housing and Community Development","IH bill at committee","Raihana Ansary ","Amy Ruiz",
"Commercial Real Estate Collaborative","01/13/2026","","Telephone","Housing and Community Development","IH bill at committee","Will Mespelt","Amy Ruiz",
"Commercial Real Estate Collaborative","01/13/2026","","Text Message","Housing and Community Development","inclusionary housing bill","Eric Zimmerman; Lorne Bulling","Amy Ruiz",
"Commercial Real Estate Collaborative","01/21/2026","","Virtual Meeting","Development Services","Intro meeting with Director Kutch","Eric Kutch","Amy Ruiz",
"Commercial Real Estate Collaborative","03/09/2026","","Text Message","Housing and Community Development","SDC waiver update","Lorne Bulling","Amy Ruiz",
"Commercial Real Estate Collaborative","03/09/2026","","Telephone","Housing and Community Development","SDC waiver update","Lorne Bulling","Amy Ruiz",
"Commercial Real Estate Collaborative","03/10/2026","","Text Message","Housing and Community Development","SDC waiver update","Lorne Bulling","Amy Ruiz",
"Commercial Real Estate Collaborative","03/10/2026","","Email","Housing and Community Development","Temporary SDC Exemption","Angelita Morillo; Candace Avalos; Dan Ryan; Donnie Oliveira; Eric Zimmerman; Jacque Dixon; Jamie Dunphy; Kezia Wanner; Lorne Bulling; Meredith Wadlington","Amy Ruiz",
"Commercial Real Estate Collaborative","03/10/2026","","Telephone","Housing and Community Development","SDC waiver update","Lorne Bulling","Amy Ruiz",
"DoorDash, Inc.","01/22/2026","","Personal Meeting","Other: App Based Delivery Services","Matters affecting delivery fees","Megan Beyer","Anna Powell",
"Habitat for Humanity Portland Region","03/04/2026","03/31/2026","Committee Meeting; Personal Meeting; Virtual Meeting","Housing and Community Development","Unbudgeted Housing Funds - affordable housing coalition priorities","Angelita Morillo; Candace Avalos; Christian Aguinaga ; Mary Li; Mitch Green; Tiffany Koyama Lane","Sarah D Radcliffe",
"Halprin Landscape Conservancy","02/26/2026","","Indirect Lobbying","Business and Economic Development","Hand-delivery of letter to Mayor and City Council Members","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Keith Wilson; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Bob Naito; John Russell; Karen Whitman; Scott Andrews",
"Halprin Landscape Conservancy","03/06/2026","","Committee Meeting","Business and Economic Development","Update of myriad issues of project under his management","Donnie Oliveira","Bob Naito; Karen Whitman; Rachael Wiggins Emory; Scott Andrews",
"Halprin Landscape Conservancy","03/06/2026","","Telephone","Business and Economic Development","Introduction of Lobbying for Halprin Landscape Conservancy","Elana Pirtle-Guiney","Rachael Wiggins Emory",
"Housing Oregon","02/11/2026","03/25/2026","Communication Preparation; Email; Meeting Preparation; Telephone; Virtual Meeting","Housing and Community Development","Advocacy for increased funding and policy support for affordable housing and community development within the City of Portland budget.","Angelita Morillo; Candace Avalos; Dan Ryan; Devyn Melnychuk; Elana Pirtle-Guiney; Keith Wilson; Maria Sipin; Mary Li; Michael Buonocore; Mitch Green; Olivia Clark; Tiffany Koyama Lane","Brian Hoop; Kevin Cronin",
"Hoyt Arboretum Friends","03/06/2026","","Telephone","Parks and Recreation: natural areas ","Funding for renovating Hoyt Arboretum Visitor Center","Elana Pirtle-Guiney","Rachael Wiggins Emory",
"Hoyt Arboretum Friends","03/11/2026","03/13/2026","Telephone","Parks and Recreation: natural areas ","Funding for renovating Hoyt Arboretum Visitor Center","Lorne Bulling","Madeline Do",
"Hoyt Arboretum Friends","03/20/2026","","Email","Parks and Recreation: natural areas ","Funding for renovating Hoyt Arboretum Visitor Center","Lorne Bulling","Rachael Wiggins Emory",
"Hoyt Arboretum Friends","03/26/2026","","Telephone","Parks and Recreation: natural areas ","Funding for renovating Hoyt Arboretum Visitor Center","Megan Beyer","Rachael Wiggins Emory",
"Hoyt Arboretum Friends","03/26/2026","","Telephone","Parks and Recreation: natural areas ","Funding for renovating Hoyt Arboretum Visitor Center","Lorne Bulling","Rachael Wiggins Emory",
"Jonathan Tasini","02/26/2026","03/31/2026","Email; Personal Meeting","Labor","Labor Peace Agreement for Moda Center","Angelita Morillo; Candace Avalos; Jamie Dunphy; Mitch Green; Olivia Clark; Sameer Kanal","JONATHAN Tasini",
"Lyft, Inc.","02/24/2026","03/10/2026","Committee Meeting; Virtual Meeting","Other: Transportation","16.40.240 TNC Operating Responsibilities and Prohibitions: Take Rate Ordinance","Elana Pirtle-Guiney; Jacq Tjaden; Jamie Dunphy; Loretta Smith; Mitch Green; Sameer Kanal; Steve Novick","Marissa Cade",
"Lyft, Inc.","02/24/2026","","Personal Meeting","Other: Transportation","16.40.240 TNC Operating Responsibilities and Prohibitions: Take Rate Ordinance","Elana Pirtle-Guiney; Steve Novick","Nicholas Johnson",
"Northwest Grocery Retail Association","02/06/2026","","Telephone","Neighborhood Livability: general","People's Depot","Spencer Knowles","Amy Ruiz",
"Northwest Grocery Retail Association","02/06/2026","","Text Message","Neighborhood Livability: general","People's Depot","Spencer Knowles","Amy Ruiz",
"Northwest Grocery Retail Association","02/12/2026","","Text Message","Neighborhood Livability: general","People's Depot","Spencer Knowles","Amy Ruiz",
"Northwest Grocery Retail Association","02/19/2026","","Personal Meeting","Neighborhood Livability: general","People's Depot","Spencer Knowles","Amy Ruiz",
"Northwest Oregon Labor Council","01/07/2026","01/14/2026","Text Message","Other: Consulting on leadership election","Council Leadership ","Elana Pirtle-Guiney; Eric Zimmerman; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick","Laurie Wimmer",
"Northwest Oregon Labor Council","01/15/2026","","Text Message","Labor","Council Leadership","Jamie Dunphy","Laurie Wimmer",
"Northwest Oregon Labor Council","01/21/2026","","Personal Meeting","Other: City Budget","Budget/Revenue/Labor","Eric Zimmerman","Laurie Wimmer",
"Northwest Oregon Labor Council","02/02/2026","","Telephone","Labor","Advisory Group Participation","Jonas Biery","Laurie Wimmer",
"Northwest Oregon Labor Council","03/03/2026","","Personal Meeting","Labor","Budget/Revenue","Elana Pirtle-Guiney; Eric Zimmerman","Laurie Wimmer",
"Northwest Oregon Labor Council","03/06/2026","","Telephone","Other: City Budget","Revenue Inquiry","Thomas Lannom","Laurie Wimmer",
"Northwest Oregon Labor Council","03/10/2026","","Personal Meeting","Arts and Culture","PSU Arts Complex Funding","Eric Zimmerman; Olivia Clark","Laurie Wimmer",
"Northwest Oregon Labor Council","03/18/2026","","Personal Meeting","Labor","Budget","Keith Wilson; Raymond Lee","Laurie Wimmer",
"Northwest Oregon Labor Council","03/18/2026","","Direct Mail","Labor","Budget","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Laurie Wimmer",
"Oregon Museum of Science and Industry ","01/05/2026","","Personal Meeting","Urban Renewal","OMSI Redevelopment Project","Angelita Morillo","Erin Graham; Rachael Wiggins Emory",
"Oregon Museum of Science and Industry ","01/28/2026","","Personal Meeting","Urban Renewal","OMSI Redevelopment Project","Aisling Coghlan; Donnie Oliveira; Priya Dhanapal","Erin Graham",
"Oregon Museum of Science and Industry ","02/06/2026","","Telephone","Housing and Community Development","OMSI Redevelopment Project","Lorne Bulling","Rachael Wiggins Emory",
"Oregon Museum of Science and Industry ","02/11/2026","","Telephone","Housing and Community Development","OMSI Redevelopment Project","Steve Novick","Leah Nanpei",
"Oregon Museum of Science and Industry ","02/11/2026","","Telephone","Housing and Community Development","OMSI Redevelopment Project","Elana Pirtle-Guiney","Rachael Wiggins Emory",
"Oregon Museum of Science and Industry ","02/11/2026","","Personal Meeting","Urban Renewal","OMSI Redevelopment Project","Angelita Morillo; Donnie Oliveira; Priya Dhanapal","Leah Nanpei",
"Oregon Museum of Science and Industry ","02/12/2026","","Telephone","Housing and Community Development","OMSI Redevelopment Project","Loretta Smith","Leah Nanpei",
"Oregon Museum of Science and Industry ","02/12/2026","","Personal Meeting","Housing and Community Development","OMSI Redevelopment Project","Kristin Johnson","Leah Nanpei; Rachael Wiggins Emory",
"Oregon Museum of Science and Industry ","02/13/2026","","Telephone","Housing and Community Development","OMSI Redevelopment Project","Kristin Johnson","Rachael Wiggins Emory",
"Oregon Museum of Science and Industry ","02/13/2026","03/18/2026","Telephone","Housing and Community Development","OMSI Redevelopment Project","Lorne Bulling","Rachael Wiggins Emory",
"Oregon Museum of Science and Industry ","02/26/2026","","Virtual Meeting","Urban Renewal","OMSI Redevelopment Project","Sonia Schmanski","Erin Graham; Leah Nanpei",
"Oregon Museum of Science and Industry ","03/12/2026","","Telephone","Housing and Community Development","OMSI Redevelopment Project","Lorne Bulling","Rachael Wiggins Emory",
"Oregon Museum of Science and Industry ","03/27/2026","","Personal Meeting","Parks and Recreation: natural areas ","OMSI Redevelopment Project","Sonia Schmanski","Erin Graham",
"Oregon Smart Growth","01/21/2026","","Personal Meeting","Business and Economic Development","Advance Portland 2.0","Cornell Wesley","Tom Rinehart",
"Oregon Smart Growth","02/05/2026","","Telephone","Housing and Community Development","Follow up on Governor's multifamily housing development work group","Donnie Oliveira","Tom Rinehart",
"Oregon Smart Growth","02/25/2026","","Telephone","Housing and Community Development","housing funding and landlord regulation study","Donnie Oliveira","Amy Ruiz; Tom Rinehart",
"Oregon Smart Growth","02/26/2026","","Personal Meeting","Development Services","Permitting","Eric Kutch","Amy Ruiz; Tom Rinehart",
"Port of Portland","01/01/2026","03/31/2026","Email; Personal Meeting","Business and Economic Development","Economic Opportunities Analysis
","Eric Engstrom; Katie Shriver; Megan Beyer; Steve Novick","Dan Eisenbeis",
"Port of Portland","01/01/2026","03/31/2026","Personal Meeting; Telephone","Business and Economic Development","Portland Enterprise Zone Boundary Change","Christian Aguinaga ; Dan Ryan; Devin Mullins; Donnie Oliveira; Elana Pirtle-Guiney; Megan Beyer; Mitch Green; Natalie Sept; Olivia Clark; Raihana Ansary ; Trevor Adams","Curtis Robinhold; Dan Eisenbeis",
"Port of Portland","01/01/2026","03/31/2026","Personal Meeting","Business and Economic Development","General Updates on Port
","Aisling Coghlan; Natalie Sept","Dave Robertson",
"Port of Portland","01/01/2026","03/31/2026","Email; Personal Meeting; Telephone","Planning","CEI Hub Policy Project
","Aisling Coghlan; Devin Mullins; Donnie Oliveira; Elana Pirtle-Guiney; Eric Engstrom; Katie Shriver; Megan Beyer; Natalie Sept; Steph Routh; Steve Novick","Dan Eisenbeis",
"Port of Portland","01/01/2026","03/31/2026","Personal Meeting","Planning","Columbia Corridor Industrial Lands Environmental Overlay Zone Project","Eric Engstrom","Dan Eisenbeis",
"Port of Portland","01/01/2026","03/31/2026","Personal Meeting; Telephone","Transportation: streets, sidewalks and street lighting","Transportation Utility Fee","Aisling Coghlan; Katie Shriver; Keith Wilson; Megan Beyer","Curtis Robinhold; Dan Eisenbeis",
"Portland Business Alliance","01/01/2026","","Email","Business and Economic Development","Requesting Mayor's attendance at upcoming PMC events. ","Aisling Coghlan; Grace Galvez Mora; Raihana Ansary ","Andrew Hoan",
"Portland Business Alliance","01/03/2026","","Email","Business and Economic Development","Request from Council to present State of the Economy report at a council hearing. ","Kezia Wanner","Andrew Hoan",
"Portland Business Alliance","01/05/2026","03/30/2026","Email","Business and Economic Development","Providing weekly updates on unsheltered community members. ","Keith Wilson; Kristopher Taft; Taylor Zajonic","Steve Wytcherley",
"Portland Business Alliance","01/05/2026","","Email; Meeting Preparation","Business and Economic Development","Notification that Councilor Zimmerman may not be available to attend upcoming meeting. ","Luke Zak","Mark Wells",
"Portland Business Alliance","01/06/2026","","Email","Business and Economic Development","Invitation to attend Portland Advocacy Day in Salem and State of the Portland Electorate presentations. ","Aisling Coghlan; Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Keith Wilson; Kezia Wanner; Loretta Smith; Mitch Green; Olivia Clark; Prosper Portland Commission; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Andrew Hoan",
"Portland Business Alliance","01/06/2026","","Email","Business and Economic Development","Scheduling meeting with Portland Solutions.","Skyler Brocker-Knapp","Andrew Hoan",
"Portland Business Alliance","01/06/2026","","Email","Business and Economic Development","Inviting Mayor Wilson to upcoming events.","Aisling Coghlan; Raihana Ansary ","Andrew Hoan",
"Portland Business Alliance","01/06/2026","","Telephone","Business and Economic Development","Economic development conversation.","Raihana Ansary ","Jon Isaacs",
"Portland Business Alliance","01/07/2026","","Telephone","Business and Economic Development","Transportation funding discussion. ","Olivia Clark","Jon Isaacs",
"Portland Business Alliance","01/07/2026","","Text Message","Business and Economic Development","Economic development. ","Elana Pirtle-Guiney","Jon Isaacs",
"Portland Business Alliance","01/07/2026","","Email","Business and Economic Development","Waterfront Park and festivals funding, collaboration for funding and study of Waterfront Park. ","Aisling Coghlan; Cornell Wesley; Dan Ryan; Elana Pirtle-Guiney; Keith Wilson; Kezia Wanner; Michael Jordan; Natalie Sept; Raihana Ansary ; Sam Chase; Sonia Schmanski","Andrew Hoan",
"Portland Business Alliance","01/07/2026","","Email","Business and Economic Development","Waterfront Park funding breakdown for contributions to City of Portland and festivals. ","Kezia Wanner","Andrew Hoan",
"Portland Business Alliance","01/08/2026","","Telephone","Business and Economic Development","Scheduling Mayor Wilson presentation at board retreat. ","Raihana Ansary ","Andrew Hoan",
"Portland Business Alliance","01/08/2026","","Telephone","Business and Economic Development","Economic Development discussion.","Elana Pirtle-Guiney","Jon Isaacs",
"Portland Business Alliance","01/08/2026","","Telephone","Business and Economic Development","Economic development discussion.","Eric Zimmerman","Jon Isaacs",
"Portland Business Alliance","01/08/2026","","Telephone","Business and Economic Development","Critical Energy Infrastructure hub discussion.","Eric Engstrom","Jon Isaacs",
