"Entity","Contact date","Contact end date","Contact type(s)","Subject","Action of interest","City official(s)","Lobbyist(s)",
"Oregon Smart Growth","12/17/2025","","Text Message","Housing and Community Development","LC 5 regarding inclusionary housing","Eric Zimmerman; Lorne Bulling","Amy Ruiz",
"Oregon Smart Growth","12/17/2025","","Text Message","Housing and Community Development","LC 5 regarding inclusionary housing","Steve Novick","Amy Ruiz",
"Oregon Smart Growth","12/19/2025","","Text Message","Housing and Community Development","LC 5 regarding inclusionary housing","Lorne Bulling","Amy Ruiz",
"Port of Portland","10/02/2025","","Text Message","Police and Public Safety","Inquiry regarding air traffic and national guard deployment ","Eric Zimmerman","Emerald Bogue",
"Port of Portland","10/02/2025","","Text Message","Police and Public Safety","Inquiry regarding air traffic and national guard deployment ","Aisling Coghlan","Emerald Bogue",
"Port of Portland","10/02/2025","","Telephone; Text Message","Police and Public Safety","Inquiry regarding air traffic and national guard deployment ","Natalie Sept","Emerald Bogue",
"Port of Portland","10/06/2025","","Personal Meeting","Business and Economic Development","Economic Development and Trade","Adam Murray; Amani Kelekele; Candace Avalos; Christian Aguinaga ; Cornell Wesley; Eric Engstrom; Erik Dean; Jamie Dunphy; Sameer Kanal; Shaniqua Henry-Davis; Sofia Diffee","Dan Eisenbeis",
"Port of Portland","10/10/2025","","Personal Meeting","Financial Administration and Management","Port and City cooperation","Michael Jordan","Dave Robertson",
"Port of Portland","10/17/2025","","Personal Meeting","Business and Economic Development","Economic Opportunities Analysis","Steph Routh","Dan Eisenbeis; Tom Bouillion",
"Port of Portland","10/17/2025","","Personal Meeting","Planning","Columbia Corridor Industrial Land Environmental Overlay Zone Project","Steph Routh","Dan Eisenbeis; Tom Bouillion",
"Port of Portland","10/17/2025","","Personal Meeting","Planning","Critical Energy Infrastructure Hub Policy","Steph Routh","Dan Eisenbeis; Tom Bouillion",
"Port of Portland","11/04/2025","","Personal Meeting","Business and Economic Development","Economic Opportunities Analysis","Donnie Oliveira","Dan Eisenbeis",
"Port of Portland","11/04/2025","","Personal Meeting","Planning","Critical Energy Infrastructure Hub Policy","Donnie Oliveira","Dan Eisenbeis",
"Port of Portland","11/05/2025","","Personal Meeting","Environment: sewer/storm water","Bureau of Environmental Services Adminisration","Ting Lu","Dan Eisenbeis",
"Port of Portland","11/06/2025","","Email","Business and Economic Development","International Air Service at PDX","Grace Galvez Mora; Raihana Ansary ","Dan Eisenbeis",
"Port of Portland","11/08/2025","","Telephone","Business and Economic Development","Technical Adjustment Ordinance","Felisa Hagins","Dan Eisenbeis",
"Port of Portland","11/08/2025","","Telephone","Business and Economic Development","Technical Adjustment Ordinance","Donnie Oliveira","Dan Eisenbeis",
"Port of Portland","11/09/2025","","Telephone","Business and Economic Development","Technical Adjustment Ordinance","Natalie Sept","Dan Eisenbeis",
"Port of Portland","11/10/2025","","Telephone","Business and Economic Development","Technical Adjustment Ordinance","Candace Avalos","Curtis Robinhold",
"Port of Portland","11/10/2025","","Telephone","Business and Economic Development","Technical Adjustment Ordinance","Loretta Smith","Curtis Robinhold",
"Port of Portland","11/10/2025","","Telephone","Business and Economic Development","Technical Adjustment Ordinance","Megan Beyer","Dan Eisenbeis",
"Port of Portland","11/18/2025","","Telephone","Financial Administration and Management","City administration","Michael Jordan","Curtis Robinhold",
"Port of Portland","11/19/2025","","Personal Meeting","Business and Economic Development","International Air Service at PDX","Aisling Coghlan; Keith Wilson","Curtis Robinhold; Dan Eisenbeis; Dan Pippenger",
"Port of Portland","12/02/2025","","Personal Meeting","Financial Administration and Management","City administration","Michael Jordan","Curtis Robinhold",
"Port of Portland","12/12/2025","","Personal Meeting","Business and Economic Development","Economic Opportunities Analysis","Natalie Sept","Dan Eisenbeis",
"Port of Portland","12/12/2025","","Personal Meeting","Planning","Critical Energy Infrastructure Hub Policy","Natalie Sept","Dan Eisenbeis",
"Portland Business Alliance","10/01/2025","","Telephone","Business and Economic Development","Public safety. ","Steve Novick","Jon Isaacs",
"Portland Business Alliance","10/01/2025","","Personal Meeting","Business and Economic Development","Best Practices Trip to Minneapolis.","Chariti Montez; Cornell Wesley; Dan Ryan; Donnie Oliveira; Eben Hoffer; Elana Pirtle-Guiney; Eric Zimmerman; Kezia Wanner; Luke Zak; Megan Beyer; Natalie Sept; Raihana Ansary ; Spencer Knowles","Andrew Hoan; Jon Isaacs; Sydney Mead",
"Portland Business Alliance","10/02/2025","","Telephone","Business and Economic Development","Small business discussion.","Raihana Ansary ","Jon Isaacs",
"Portland Business Alliance","10/02/2025","","Email","Business and Economic Development","Downtown parking.","Raihana Ansary ","Jon Isaacs",
"Portland Business Alliance","10/03/2025","","Telephone","Business and Economic Development","Economic Development.","Steve Novick","Jon Isaacs",
"Portland Business Alliance","10/03/2025","","Email","Business and Economic Development","Email about meeting logistics. ","Raihana Ansary ","Jon Isaacs; Meikelo Cabbage",
"Portland Business Alliance","10/08/2025","","Email","Business and Economic Development","Coordinating meeting with Councilor Zimmerman","Luke Zak","Mark Wells",
"Portland Business Alliance","10/09/2025","","Personal Meeting","Business and Economic Development","Meeting between Councilor Zimmerman and Central Eastside Industrial District, Lloyd District, and Downtown Portland Clean & Safe Enhanced Service Districts.","Eric Zimmerman","Mark Wells",
"Portland Business Alliance","10/09/2025","","Telephone","Business and Economic Development","Public safety. ","Steve Novick","Jon Isaacs",
"Portland Business Alliance","10/10/2025","","Telephone","Business and Economic Development","Economic conditions of Portland discussion.","Keith Wilson","Andrew Hoan",
"Portland Business Alliance","10/13/2025","","Email","Business and Economic Development","Scheduling District 2 councilor meeting.","Jennifier Stewart","Meikelo Cabbage",
"Portland Business Alliance","10/13/2025","","Email","Business and Economic Development","Bounty of Umatilla thank you note and request for meeting","Raihana Ansary ","Sydney Mead",
"Portland Business Alliance","10/14/2025","","Personal Meeting; Virtual Meeting","Business and Economic Development","Portland Economic Action Plan Roundtable meeting.","Chariti Montez; Donnie Oliveira; Priya Dhanapal; Raihana Ansary ","Andrew Hoan; Jon Isaacs; Meikelo Cabbage",
"Portland Business Alliance","10/14/2025","","Telephone","Business and Economic Development","Debrief from efforts regarding National Guard deployment.
","Raihana Ansary ","Andrew Hoan",
"Portland Business Alliance","10/14/2025","","Telephone","Business and Economic Development","Economic Development","Steve Novick","Jon Isaacs",
"Portland Business Alliance","10/14/2025","","Email","Business and Economic Development","Requesting to meet.","Mitch Green","Jon Isaacs",
"Portland Business Alliance","10/14/2025","","Email","Business and Economic Development","Small business discussion.","Lisa Freeman","Jon Isaacs",
"Portland Business Alliance","10/14/2025","","Personal Meeting","Business and Economic Development","Discussion of State Legislative priorities.","Raihana Ansary ; Sam Chase","Jon Isaacs",
"Portland Business Alliance","10/15/2025","","Email","Business and Economic Development","Following up on request to meet.","Mitch Green","Jon Isaacs",
"Portland Business Alliance","10/15/2025","","Telephone","Business and Economic Development","Parks/Parks levy discussion.","Elana Pirtle-Guiney","Jon Isaacs",
"Portland Business Alliance","10/15/2025","","Telephone","Business and Economic Development","Parks/Parks levy discussion.","Elana Pirtle-Guiney","Jon Isaacs",
"Portland Business Alliance","10/15/2025","","Telephone","Business and Economic Development","Parks discussion.","Natalie Sept","Jon Isaacs",
"Portland Business Alliance","10/16/2025","","Email","Business and Economic Development","Downtown transportation.","Millicent Williams","Jon Isaacs",
"Portland Business Alliance","10/16/2025","","Email","Business and Economic Development","Scheduling meeting with District 1 Councilors","Eva Stanganelli","Meikelo Cabbage",
"Portland Business Alliance","10/17/2025","","Personal Meeting","Business and Economic Development","Reimagine Portland meeting series about Portland's retail businesses. ","Dan Ryan","Sydney Mead",
"Portland Business Alliance","10/17/2025","","Email","Business and Economic Development","Scheduling/meeting logistics.","Eric Engstrom","Jon Isaacs",
"Portland Business Alliance","10/23/2025","","Telephone","Business and Economic Development","Discussion of business community priorities.","Raihana Ansary ","Andrew Hoan",
"Portland Business Alliance","10/23/2025","","Personal Meeting; Virtual Meeting","Business and Economic Development","Best practices debrief
","Chariti Montez; Dan Ryan; Donnie Oliveira; Eben Hoffer; Elana Pirtle-Guiney; Eric Zimmerman; Luke Zak; Megan Beyer; Natalie Sept","Andrew Hoan; Jon Isaacs; Sydney Mead",
"Portland Business Alliance","10/23/2025","","Personal Meeting; Virtual Meeting","Business and Economic Development","Best practices debrief
","Chariti Montez; Dan Ryan; Donnie Oliveira; Eben Hoffer; Elana Pirtle-Guiney; Eric Zimmerman; Luke Zak; Megan Beyer; Natalie Sept","Andrew Hoan; Jon Isaacs; Sydney Mead",
"Portland Business Alliance","10/24/2025","","Telephone","Business and Economic Development","Discussion of amendments to Mayor's budget. ","Raihana Ansary ","Andrew Hoan",
"Portland Business Alliance","10/24/2025","","Personal Meeting","Business and Economic Development","Housing discussion","Helmi Hisserich","Jon Isaacs",
"Portland Business Alliance","10/24/2025","","Personal Meeting","Business and Economic Development","Energy policy discussion.","Eric Engstrom","Jon Isaacs",
"Portland Business Alliance","10/27/2025","","Email","Business and Economic Development","Economic development discussion.","Donnie Oliveira","Jon Isaacs",
"Portland Business Alliance","10/27/2025","","Email","Business and Economic Development","Economic development discussion.","Donnie Oliveira","Jon Isaacs",
"Portland Business Alliance","10/27/2025","","Telephone","Business and Economic Development","Meeting preparation for Downtown Safety Network.","Kristopher Taft","Mark Wells",
"Portland Business Alliance","10/27/2025","","Email","Business and Economic Development","Invitation to Economic Summit. ","Aisling Coghlan; Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Keith Wilson; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Andrew Hoan",
"Portland Business Alliance","10/28/2025","","Telephone","Business and Economic Development","Check in on state of Portland's economy.","Dan Ryan","Andrew Hoan",
"Portland Business Alliance","10/28/2025","","Personal Meeting","Business and Economic Development","Presentation of Time/Place/Manner rule changes for public camping at Downtown Safety Network.","Kristopher Taft","Mark Wells",
"Portland Business Alliance","10/28/2025","","Personal Meeting","Business and Economic Development","Economic development conversation.","Cornell Wesley; Donnie Oliveira; Eric Engstrom; Helmi Hisserich","Jon Isaacs",
"Portland Business Alliance","10/28/2025","","Personal Meeting; Virtual Meeting","Business and Economic Development","Comprehensive Economic Development Strategy meeting.","Chariti Montez; David Kuhnhausen; Donnie Oliveira; Eric Engstrom; Helmi Hisserich","Andrew Hoan; Jon Isaacs; Meikelo Cabbage",
"Portland Business Alliance","10/29/2025","","Personal Meeting","Business and Economic Development","Discussion of Portland role in Cascadia and High Speed Rail, Cascadia Innovation Corridor conference.","Keith Wilson; Raihana Ansary ","Andrew Hoan",
