"Entity","Contact date","Contact type","Subject","Action of interest","City official(s)","Lobbyist(s)",
"Lyft, Inc.","10/19/2015","Email","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz; Andrea Lobato; Annabel Chang; Tony Albert",
"Lyft, Inc.","10/19/2015","Text Message","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","10/20/2015","Telephone","Transportation: Local Improvement District (LID)","TNC regulations","Hockaday Bryan","Amy Ruiz; Annabel Chang",
"Lyft, Inc.","10/20/2015","Email","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz; Annabel Chang",
"Lyft, Inc.","10/23/2015","Email","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","10/23/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","10/23/2015","Text Message","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","10/24/2015","Text Message","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","10/26/2015","Email","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","10/26/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","10/26/2015","Text Message","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","10/27/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","10/27/2015","Text Message","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","10/29/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","10/29/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","10/29/2015","Text Message","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","11/02/2015","Personal Meeting","Transportation: streets, sidewalks and street lighting","TNC regulations","Alpert, Josh","Amy Ruiz",
"Lyft, Inc.","11/03/2015","Text Message","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","11/04/2015","Text Message","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","11/05/2015","Personal Meeting","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan; Wiggins, Rachel","Amy Ruiz; Annabel Chang; David Mack; Laura Bisesto",
"Lyft, Inc.","11/05/2015","Text Message","Transportation: streets, sidewalks and street lighting","TNC regulations","Alpert, Josh; Pierce, Tera","Amy Ruiz",
"Lyft, Inc.","11/05/2015","Email","Transportation: streets, sidewalks and street lighting","TNC regulations","Wiggins, Rachel","Amy Ruiz",
"Lyft, Inc.","11/05/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","11/05/2015","Email","Transportation: streets, sidewalks and street lighting","TNC regulations","Dunphy, Jamie","Amy Ruiz",
"Lyft, Inc.","11/05/2015","Text Message","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","11/09/2015","Email","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","11/10/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","11/10/2015","Text Message","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","11/12/2015","Personal Meeting","Transportation: streets, sidewalks and street lighting","TNC regulations","Alpert, Josh; Hockaday Bryan; Novick, Steve; Warner, Chris","Amy Ruiz; Laura Bisesto",
"Lyft, Inc.","11/12/2015","Email","Transportation: streets, sidewalks and street lighting","TNC regulations","Alpert, Josh; Hockaday Bryan; Warner, Chris; Wiggins, Rachel","Amy Ruiz",
"Lyft, Inc.","11/12/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","11/12/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","11/12/2015","Text Message","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","11/12/2015","Email","Transportation: streets, sidewalks and street lighting","TNC regulations","Alpert, Josh; Hales, Charlie","Amy Ruiz; Laura Bisesto",
"Lyft, Inc.","11/16/2015","Email","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
