"Entity","Contact date","Contact end date","Contact type(s)","Subject","Action of interest","City official(s)","Lobbyist(s)",
"Breach Collective","05/19/2026","","Telephone","Other: Budget questions","Budget questions","Christian Aguinaga ","Nicholas Caleb",
"Breach Collective","06/17/2026","","Telephone","Sustainable Development: energy","PCEF Commitee Appointments","Angelita Morillo","Danny Noonan",
"Coalition of Communities of Color","04/06/2026","06/30/2026","Email; Meeting Preparation; Personal Meeting; Virtual Meeting","Environment: natural","Policy development and passage of climate and health standards for existing buildings and utility cost disclosure for tenants","Candace Avalos; Gloria Ochoa-Sandoval; Lauren Jin; Sofia Diffee","Jenny Lee; Nikita Daryanani; Taren Evans",
"Coalition of Communities of Color","04/06/2026","04/18/2026","Meeting Preparation; Telephone; Text Message","Environment: natural","Support for Climate Investment Plan and budget investments for the Portland Clean Energy Fund with a climate nexus","Candace Avalos; Elana Pirtle-Guiney","Jenny Lee",
"Coalition of Communities of Color","04/08/2026","04/17/2026","Telephone; Text Message","Housing and Community Development","Support for funding affordable housing projects for Coalition of Communities of Color's members","Candace Avalos; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Loretta Smith; Sameer Kanal; Steve Novick","Marcus Mundy",
"Coalition of Communities of Color","05/08/2026","05/15/2026","Email; Telephone; Text Message","Other: Diversity & Civic Leadership","Increased funding for Diversity and Civic Leadership in City budget","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Gloria Ochoa-Sandoval; Jamie Dunphy; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Tiffany Koyama Lane","Beth Chvilicek; Jenny Lee; Marcus Mundy",
"Columbia Corridor Association","04/10/2026","","Email","Transportation: streets, sidewalks and street lighting","Requesting update on new transportation funding ideas.","Millicent Williams","Corky Collier",
"Columbia Corridor Association","04/21/2026","","Email","Business and Economic Development","email thank you for attending our event","Kezia Wanner","Corky Collier",
"Columbia Corridor Association","04/21/2026","","Email","Business and Economic Development","thank you for a good job on permitting improvements","Donnie Oliveira","Corky Collier",
"Columbia Corridor Association","04/22/2026","","Email","Planning","request meeting regarding BPS staff behavior","Donnie Oliveira","Corky Collier",
"Columbia Corridor Association","05/01/2026","","Email","Transportation: streets, sidewalks and street lighting","input on paving NW 23rd st.","Millicent Williams","Corky Collier",
"Columbia Corridor Association","05/11/2026","","Email","Transportation: streets, sidewalks and street lighting","request for an update on PBOT funding ","Millicent Williams","Corky Collier",
"Columbia Corridor Association","06/02/2026","","Indirect Lobbying","Business and Economic Development","public forum on Prosper Portland activities. No action requested.","Cornell Wesley","Corky Collier",
"Commercial Real Estate Collaborative","04/03/2026","","Text Message","Housing and Community Development","rental regulations study","Lorne Bulling","Amy Ruiz",
"Commercial Real Estate Collaborative","04/03/2026","","Telephone","Housing and Community Development","rental regulations study","Lorne Bulling","Amy Ruiz",
"Commercial Real Estate Collaborative","04/10/2026","","Text Message","Housing and Community Development","vacancy tax study","Donnie Oliveira","Amy Ruiz",
"Commercial Real Estate Collaborative","05/05/2026","","Text Message","Housing and Community Development","vacancy tax study","Donnie Oliveira","Amy Ruiz",
