"Entity","Contact date","Contact end date","Contact type(s)","Subject","Action of interest","City official(s)","Lobbyist(s)",
"Portland DSA","04/21/2026","","Personal Meeting","Police and Public Safety","Asked for how to best support the ""Right to Know Who is Policing You"" ordinance and asked for analysis on the budget and the dynamics around it.
","Sameer Kanal","Aiden Summers; Benjamin Gilbert; Brandon Jonely; Carolyn Roderique; Christian Mecham; Cole Songster; Jesse Joseph; Jordan Lewis",
"Portland DSA","04/22/2026","","Virtual Meeting","Police and Public Safety","Asked the office for an explainer of ""Right to Know Who is Policing You"" ordinance that could be passed along to Representative Muñoz
","Mac Acuay; Sameer Kanal","Benjamin Gilbert",
"Portland DSA","04/22/2026","","Telephone","Youth","Asked the office for material related to the oversight hearing on the 23rd of April","Maria Sipin","Benjamin Gilbert",
"Portland DSA","04/24/2026","","Telephone","Police and Public Safety","Asked the office to take some steps to support the ""Right to Know Who is Policing You"" ordinance ","Tiffany Koyama Lane","Benjamin Gilbert",
"Portland DSA","04/29/2026","","Virtual Meeting","Police and Public Safety","Asked the office to connect me with WFP to chat about the ""right to know"" rally","Mac Acuay; Sameer Kanal","Benjamin Gilbert",
"Portland DSA","04/30/2026","","Email","Police and Public Safety","Offered the office an opportunity to speak at ""ICE out of Hilton"" rally","Angelita Morillo","Brandon Jonely",
"Portland DSA","05/05/2026","","Personal Meeting","Housing and Community Development","Expressed our opposition to money being taken out of the social housing revolving loan fund, and asked for updates on policies related to the renters bill of rights","Mary Li","Benjamin Gilbert",
"Portland DSA","05/05/2026","","Personal Meeting","Housing and Community Development","Expressed our opposition to money being taken out of the social housing revolving loan fund, and asked for ways to support the ""Right to Know"" ordinance","Mitch Green","Benjamin Gilbert",
"Portland DSA","05/05/2026","","Telephone","Housing and Community Development","Expressed our opposition to money being taken out of the social housing revolving loan fund, and asked for ways to support the ""Right to Know"" ordinance","Maria Sipin","Benjamin Gilbert",
"Portland DSA","05/13/2026","","Virtual Meeting","International Affairs","Discussed policy options considered by the BDS Working Group","Tiffany Koyama Lane","Jordan Lewis",
"Portland DSA","05/15/2026","","Telephone","Financial Administration and Management","Asked when budget amendments would be published","Maria Sipin","Benjamin Gilbert",
"Portland DSA","05/19/2026","","Personal Meeting","Labor","Asked the office to stay strong and ""chop from the top"" cut management to save rank and file represented workers jobs","Mitch Green","Benjamin Gilbert",
"Portland DSA","05/19/2026","","Personal Meeting","Labor","Asked if the ""chop from the top"" ammendment would come back and expressed suport for another compromise version of it.","Maria Sipin","Benjamin Gilbert",
"Portland DSA","05/19/2026","","Personal Meeting","Labor","Asked the office what members can do to support in the budget process, specifically saving jobs","Maria Sipin","Benjamin Gilbert",
"Portland DSA","05/19/2026","","Personal Meeting","Labor","Asked the office to stay strong on pausing core re-alignment","Angelita Morillo","Benjamin Gilbert",
"Portland DSA","05/19/2026","","Personal Meeting","Police and Public Safety","Congratulated her on great job and asked the office to hold strong and not cut the office of community-based police accountability ","Tiffany Koyama Lane","Benjamin Gilbert",
"Portland DSA","05/19/2026","","Personal Meeting","Police and Public Safety","Asked the office to hold strong and not cut the office of community-based police accountability ","Sameer Kanal","Benjamin Gilbert",
"Portland DSA","05/19/2026","","Personal Meeting","Police and Public Safety","Asked the office to hold strong and not cut the office of community-based police accountability ","Mac Acuay","Benjamin Gilbert",
"Portland DSA","05/20/2026","","Personal Meeting","Labor","Asked the office to keep up the great work on chairing the meeting and stay strong","Jacque Dixon","Benjamin Gilbert",
"Portland DSA","05/20/2026","","Personal Meeting","Labor","Asked the office to find a way to save as many represented positions as possible","Sameer Kanal","Benjamin Gilbert",
"Portland DSA","05/20/2026","","Personal Meeting","Labor","Asked the office to find a way to save as many represented positions as possible","Tiffany Koyama Lane","Benjamin Gilbert",
"Portland DSA","05/27/2026","","Personal Meeting","Business and Economic Development","Asked for a meeting to discuss the MODA center deal","Sameer Kanal","Benjamin Gilbert",
"Portland DSA","05/27/2026","","Telephone","Housing and Community Development","Asked for updates on where the funding for Williams and Russel and SEI stand","Maria Sipin","Benjamin Gilbert",
"Portland DSA","06/02/2026","","Personal Meeting","Housing and Community Development","Asked the offices to look into the possibility of an ordinance to protect renters from evictions for late rent during extreme weather events","Aubri Qian; Sofia Diffee","Aiden Summers; Benjamin Gilbert",
"Portland DSA","06/02/2026","","Virtual Meeting","Labor","Asked Councilor Greens office to pass an amendment to the budget to save union jobs ","Maria Sipin","Benjamin Gilbert; Jordan Lewis",
"Portland DSA","06/03/2026","","Virtual Meeting","Housing and Community Development","Asked Councilor Greens office about a proposed amendment to the Middle Income Revolving Loan fund ","Maria Sipin","Jordan Lewis",
"Portland DSA","06/11/2026","","Email","Parks and Recreation: community centers","Invited councilor to a state legislature strategy planning session at Beaverton City Library ","Angelita Morillo; Meredith Wadlington","Jordan Lewis",
"Portland DSA","06/11/2026","","Email","Planning","Invited councilor to a state legislature strategy planning session at Beaverton City Library ","Lisa Freeman; Sameer Kanal","Jordan Lewis",
"Portland DSA","06/11/2026","","Email","Planning","Invited councilor to a state legislature strategy planning session at Beaverton City Library ","Mary Li; Tiffany Koyama Lane","Jordan Lewis",
"Portland DSA","06/11/2026","","Email","Planning","Invited councilor to a state legislature strategy planning session at Beaverton City Library ","Maria Sipin; Mitch Green","Jordan Lewis",
"Portland DSA","06/16/2026","","Virtual Meeting","Planning","Monthly SIOC Meeting with Electeds","Sameer Kanal; Tiffany Koyama Lane","Aiden Summers; Benjamin Gilbert; Brandon Jonely; Carolyn Roderique; Christian Mecham; Cole Songster; Jesse Joseph; Morgan Dreher",
"Portland DSA","06/23/2026","","Telephone","Business and Economic Development","Asked the Green office to support the ordinance for a ride share drivers resource center ","Maria Sipin","Benjamin Gilbert",
"Portland for All","04/01/2026","06/30/2026","Email; Meeting Preparation; Virtual Meeting","Housing and Community Development","Portland's plan to address housing and homelessness","Candace Avalos; Mitch Green","Andrés Oswill",
"Portland Forward","04/02/2026","04/09/2026","Meeting Preparation","Other: Governance","Enhancing our democracy by bringing civic assemblies to Portland","Steve Novick","Doug Allen; James Ofsink; Jefferson Smith",
"Portland Forward","04/13/2026","","Personal Meeting","Other: Governance","Enhancing our democracy by bringing civic assemblies to Portland","Steve Novick","Doug Allen; James Ofsink; Jefferson Smith",
"Portland Forward","06/18/2026","06/25/2026","Meeting Preparation","Other: Governance","Enhancing our democracy by bringing civic assemblies to Portland","Steve Novick","Doug Allen; James Ofsink; Jefferson Smith",
"Portland Forward","06/30/2026","","Personal Meeting","Other: Governance","Enhancing our democracy by bringing civic assemblies to Portland","Steve Novick","Doug Allen; James Ofsink; Jefferson Smith",
"Portland General Electric ","04/02/2026","","Email","Sustainable Development: energy","Email to City Administrator re: Rate Case Notification ","Raymond Lee","Preston Korst",
"Portland General Electric ","04/10/2026","06/30/2026","Communication Preparation; Direct Mail; Email; Personal Meeting; Telephone","Sustainable Development: energy","Street Cut Damage Restoration Fee Policy Conversation + Utility Service Impacts","Donnie Oliveira; Eric Kutch; Millicent Williams; Olivia Clark; Raihana Ansary ","Preston Korst",
"Portland General Electric ","04/15/2026","","Email","Sustainable Development: energy","Street Cut Damage Restoration Fee Joint Utility Letter + Comments","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Keith Wilson; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Preston Korst",
"Portland General Electric ","05/11/2026","","Telephone","Sustainable Development: energy","Phone call -- Permitting Issues + Priorities ","Eric Kutch","Preston Korst",
"Portland General Electric ","05/26/2026","","Virtual Meeting","Sustainable Development: energy","Meeting Prep for Permitting Utility Permitting Priorities and Process Improvement Discussion","Eric Kutch","Preston Korst",
"Portland General Electric ","06/10/2026","","Meeting Preparation; Personal Meeting","Sustainable Development: energy","PGE Utility Permitting Priorities and Process Improvement Discussion ","Donnie Oliveira; Millicent Williams; Raihana Ansary ","Kristen Sheeran ; Preston Korst",
"Portland General Electric ","06/22/2026","","Email; Personal Meeting","Sustainable Development: energy","Tour of PGE's Integrated Operations Center ","Vivian Satterfield","Meredith Armstrong ; Preston Korst",
"Portland Metropolitan Association of Realtors","04/01/2026","","Telephone","Transportation: streets, sidewalks and street lighting","Transportation Utility Fee ","Megan Beyer","Tony Morse",
"Portland Metropolitan Association of Realtors","04/02/2026","","Communication Preparation","Transportation: streets, sidewalks and street lighting","Transportation Utility Fee","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Michele Gila; Tony Morse",
"Portland Metropolitan Association of Realtors","04/03/2026","","Text Message","Housing and Community Development","rental regulations study","Lorne Bulling","Amy Ruiz",
"Portland Metropolitan Association of Realtors","04/03/2026","","Telephone","Housing and Community Development","rental regulations study","Lorne Bulling","Amy Ruiz",
"Portland Metropolitan Association of Realtors","04/03/2026","","Communication Preparation","Housing and Community Development","ADOPT A SUPPLEMENTAL BUDGET FOR THE PORTLAND HOUSING BUREAU FOR FY 2025-26","Candace Avalos; Elana Pirtle-Guiney; Mitch Green; Steve Novick; Tiffany Koyama Lane","Tony Morse",
"Portland Metropolitan Association of Realtors","04/05/2026","","Communication Preparation","Housing and Community Development","ADOPT A SUPPLEMENTAL BUDGET FOR THE PORTLAND HOUSING BUREAU FOR FY 2025-26","Candace Avalos; Elana Pirtle-Guiney; Mitch Green; Steve Novick; Tiffany Koyama Lane","Tony Morse",
"Portland Metropolitan Association of Realtors","04/07/2026","","Communication Preparation","Housing and Community Development","Down Payment Assistance & Supplemental Budget for the Portland  Housing Bureau for FY 2025-26","Candace Avalos; Elana Pirtle-Guiney; Mitch Green; Steve Novick; Tiffany Koyama Lane","Michele Gila; Tony Morse",
"Portland Metropolitan Association of Realtors","04/08/2026","","Telephone","Housing and Community Development","supplemental budget for housing bureau","Elijah Crawford","Amy Ruiz",
"Portland Metropolitan Association of Realtors","04/10/2026","","Text Message","Housing and Community Development","vacancy tax study","Donnie Oliveira","Amy Ruiz",
"Portland Metropolitan Association of Realtors","04/13/2026","","Telephone","Housing and Community Development","supplemental budget for housing bureau","Elijah Crawford","Amy Ruiz",
"Portland Metropolitan Association of Realtors","04/13/2026","","Telephone","Housing and Community Development","supplemental budget for housing bureau","Lorne Bulling","Amy Ruiz",
"Portland Metropolitan Association of Realtors","04/17/2026","","Virtual Meeting","Transportation: streets, sidewalks and street lighting","TUF","Raymond Lee","Amy Ruiz",
"Portland Metropolitan Association of Realtors","05/05/2026","","Text Message","Housing and Community Development","vacancy tax study","Donnie Oliveira","Amy Ruiz",
"Portland Metropolitan Association of Realtors","05/08/2026","","Telephone","Financial Administration and Management","city budget","Lorne Bulling","Amy Ruiz",
"Portland Metropolitan Association of Realtors","05/08/2026","","Text Message","Financial Administration and Management","city budget","Lorne Bulling","Amy Ruiz",
"Portland Metropolitan Association of Realtors","05/27/2026","","Email","Housing and Community Development","Sent a copy of submitted testimony ","Elijah Crawford; Loretta Smith","Amy Ruiz; Tony Morse",
"Portland Metropolitan Association of Realtors","05/29/2026","","Email","Financial Administration and Management","Emailed letter regarding FY 2026-27 budget process (6 emails total)","Dan Ryan; Devin Mullins; Elana Pirtle-Guiney; Elijah Crawford; Eric Zimmerman; Kezia Wanner; Loretta Smith; Lorne Bulling; Megan Beyer; Olivia Clark; Spencer Knowles; Steve Novick","Tony Morse",
"Portland Metropolitan Association of Realtors","06/03/2026","","Text Message","Housing and Community Development","vacancy tax study","Donnie Oliveira","Amy Ruiz",
"Portland Metropolitan Association of Realtors","06/10/2026","","Text Message","Housing and Community Development","Rental regulations study","Raihana Ansary ","Amy Ruiz",
"Portland Metropolitan Association of Realtors","06/12/2026","","Text Message","Housing and Community Development","Rental regulations study","Raihana Ansary ","Amy Ruiz",
"Portland Metropolitan Association of Realtors","06/16/2026","","Personal Meeting","Housing and Community Development","Rental regulations study","Raihana Ansary ","Amy Ruiz",
"Portland Metropolitan Association of Realtors","06/26/2026","","Personal Meeting","Housing and Community Development","HEART standards","Candace Avalos; Gloria Ochoa-Sandoval","Amy Ruiz; Michele Gila; Tony Morse",
"Portland Psychedelic Society Action Fund","04/02/2026","","Email","Police and Public Safety","psychedelic health & safety","Eva Stanganelli; Jamie Dunphy","Adriana Voss-Andreae; Courtney Moran ; Max Kelemen; Nate Howard",
"Portland Psychedelic Society Action Fund","04/02/2026","","Email","Police and Public Safety","psychedelic health & safety","Candace Avalos; Lauren Jin; Sofia Diffee","Adriana Voss-Andreae; Courtney Moran ; Max Kelemen; Nate Howard",
"Portland Psychedelic Society Action Fund","04/02/2026","","Email","Police and Public Safety","psychedelic health & safety","Angelita Morillo; Kristin Johnson; Suzy Deuster","Adriana Voss-Andreae; Courtney Moran ; Max Kelemen; Nate Howard",
"Portland Psychedelic Society Action Fund","04/02/2026","","Email","Police and Public Safety","psychedelic health & safety","Mary Li; Tiffany Koyama Lane","Adriana Voss-Andreae; Courtney Moran ; Max Kelemen; Nate Howard",
"Portland Psychedelic Society Action Fund","04/02/2026","","Email","Police and Public Safety","psychedelic health & safety","Mary Li; Tiffany Koyama Lane","Adriana Voss-Andreae; Courtney Moran ; Max Kelemen; Nate Howard",
"Portland State University","04/01/2026","06/30/2026","Committee Meeting; Email; Personal Meeting; Telephone; Text Message; Virtual Meeting","Arts and Culture","PSU Performing Arts and Culture Center, future of large-scale venues","Alexander Browne; Angelita Morillo; Ashley McKenzie; Candace Avalos; Cara Althoff; Chariti Montez; Devin Mullins; Donnie Oliveira; Eben Hoffer; Elana Pirtle-Guiney; Elijah Crawford; Emily Aneja; Eric Zimmerman; Eva Stanganelli; Gloria Ochoa-Sandoval; Jamie Dunphy; Jennifer Stewart; Keith Wilson; Loretta Smith; Lorne Bulling; Luke Zak; Maria Sipin; Mary Li; Megan Beyer; Mitch Green; Olivia Clark; Raihana Ansary ; Ryan Nielsen; Sameer Kanal; Shaniqua Henry-Davis; Sofia Diffee; Spencer Knowles; Steve Novick; Suzy Deuster; Tiffany Koyama Lane; Zach Ward","Amy Ruiz; Ann Cudd; Cynthia Gomez; Donald Forsythe; Jason Franklin; Kimberly Koops; Leroy Bynum, Jr.; Sarah Schwarz; Tony Morse",
"Portland State University","04/01/2026","06/30/2026","Email; Goodwill Building (non-lobbying)","Education","Invitations and sharing PSU events","Angelita Morillo; Ashley McKenzie; Candace Avalos; Cara Althoff; Christopher Van Velden; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Eva Stanganelli; Gloria Ochoa-Sandoval; Jamie Dunphy; Loretta Smith; Lorne Bulling; Mary Li; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Cynthia Gomez",
"Portland State University","04/01/2026","06/30/2026","Committee Meeting; Email","Transportation: streets, sidewalks and street lighting","Jackson Street/Rose Hill Rename","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jacque Dixon; Jamie Dunphy; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Cynthia Gomez",
"Portland State University","04/02/2026","","Committee Meeting","Transportation: streets, sidewalks and street lighting","transportation utility fee","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Tyler Frisbee",
"Portland State University","04/07/2026","","Email; Virtual Meeting","Education","University Updates and Financial Sustainability","Angelita Morillo; Raihana Ansary ","Cynthia Gomez; Kimberly Koops",
"Portland State University","04/23/2026","06/15/2026","Personal Meeting; Telephone; Virtual Meeting","Urban Renewal","Waterfront Park Stakeholder Assessment","Aisling Coghlan; Dan Ryan; Jamie Dunphy; Maria Sipin; Mary Li; Olivia Clark; Priya Dhanapal; Raihana Ansary ; Raymond Lee; Zach Ward","Earl Blumenauer; Tyler Frisbee",
"Portland State University","04/24/2026","","Telephone","Education","Introductory Meeting","Olivia Clark","Earl Blumenauer",
"Portland State University","05/06/2026","","Personal Meeting","Urban Renewal","role of IMS in city research efforts, waterfront park","Raihana Ansary ","Tyler Frisbee",
"Portland State University","05/12/2026","","Personal Meeting","Education","Introductory Meeting","Jamie Dunphy","Earl Blumenauer",
"Portland State University","05/29/2026","","Email","Police and Public Safety","PSU/PPB student community partnerships","Robert Day","Cynthia Gomez",
"Portland State University","06/01/2026","06/30/2026","Committee Meeting; Email; Virtual Meeting","Other: Zoning Updates","RICAP 11, Recommended Draft","Aubri Qian; Candace Avalos; Devin Mullins; Elana Pirtle-Guiney; Gloria Ochoa-Sandoval; Maria Sipin; Mary Li; Mitch Green; Sofia Diffee; Spencer Knowles; Steve Novick; Tiffany Koyama Lane","Cynthia Gomez",
"Portland State University","06/05/2026","","Personal Meeting","Arts and Culture","Arts & Culture ","Chariti Montez","Cynthia Gomez; Donald Forsythe; Sarah Schwarz",
"Portland State University","06/05/2026","","Personal Meeting","Education","Introductory Meeting and Campus Tour","Eric Zimmerman; Lorne Bulling; Ryan Nielsen","Amy Ruiz; Ann Cudd; Donald Forsythe; Jason Franklin; Kimberly Koops; Leroy Bynum, Jr.; Sarah Schwarz; Tony Morse",
"Portland State University","06/12/2026","","Goodwill Building (non-lobbying)","Education","PSU Commencement Keynote Speaker","Mary Li; Tiffany Koyama Lane","Ann Cudd; Cynthia Gomez",
"Portland State University","06/16/2026","","Goodwill Building (non-lobbying)","Education","Introductory Meeting","Tiffany Koyama Lane","Earl Blumenauer",
"Portland: Neighbors Welcome","04/01/2026","04/30/2026","Email; Meeting Preparation; Personal Meeting; Telephone; Virtual Meeting","Housing and Community Development","Development and promotion of City Council Resolution 2026-106 to direct the City Administrator to accelerate the timeline for the Inner Eastside Area Planning Project","Angelita Morillo; Candace Avalos; Christian Aguinaga ; Dan Ryan; Eben Hoffer; Elana Pirtle-Guiney; Eric Engstrom; Eric Zimmerman; Jamie Dunphy; Loretta Smith; Maria Sipin; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Suzy Deuster; Tiffany Koyama Lane; Will Mespelt","Aaron Brown; Andrea Haverkamp; Beth Deitchman; Dave Peticolas; Debbie Kitchin; Heidi Hart; Jennifer Shuch; Luke Norman; Sam Stuckey; Will Hollingsworth",
"Portland: Neighbors Welcome","05/01/2026","05/28/2026","Email; Personal Meeting","Housing and Community Development","Invitation to PNW Dream Single Stair Design Competition, attendance at Competition, and Single Stair building code change advocacy. ","Angelita Morillo; Christian Aguinaga ; Eben Hoffer; Jamie Dunphy; Maria Sipin; Mitch Green; Sameer Kanal; Steve Novick; Suzy Deuster; Tiffany Koyama Lane","Andrea Haverkamp; Beth Deitchman; Dave Peticolas; Debbie Kitchin; Heidi Hart; Luke Norman; Sam Stuckey; Will Hollingsworth",
"PPSAF","04/02/2026","","Email","Police and Public Safety","psychedelic health & safety","Eva Stanganelli; Jamie Dunphy","Adriana Voss-Andreae; Courtney Moran; Max Kelemen; Nathan Howard",
"PPSAF","04/02/2026","","Email","Police and Public Safety","psychedelic health & safety","Candace Avalos; Lauren Jin; Sofia Diffee","Adriana Voss-Andreae; Courtney Moran; Max Kelemen; Nathan Howard",
"PPSAF","04/02/2026","","Email","Police and Public Safety","psychedelic health & safety","Angelita Morillo; Kristin Johnson; Suzy Deuster","Adriana Voss-Andreae; Courtney Moran; Max Kelemen; Nathan Howard",
"PPSAF","04/02/2026","","Email","Police and Public Safety","psychedelic health & safety","Mary Li; Tiffany Koyama Lane","Adriana Voss-Andreae; Courtney Moran; Max Kelemen; Nathan Howard",
"PPSAF","04/02/2026","","Text Message","Police and Public Safety","psychedelic health & safety","Devin Mullins","Kari Chisholm ",
"PPSAF","04/03/2026","","Email","Police and Public Safety","psychedelic health & safety","Devin Mullins","Kari Chisholm ",
"PPSAF","04/03/2026","","Text Message","Police and Public Safety","psychedelic health & safety","Devin Mullins","Kari Chisholm ",
"PPSAF","04/07/2026","","Text Message","Police and Public Safety","psychedelic health & safety","Devin Mullins","Kari Chisholm ",
"PPSAF","04/09/2026","","Telephone","Police and Public Safety","psychedelic health & safety","Devin Mullins","Kari Chisholm ",
"PPSAF","04/13/2026","","Text Message","Police and Public Safety","psychedelic health & safety","Devin Mullins","Courtney Moran; Kari Chisholm ",
"PPSAF","04/13/2026","","Virtual Meeting","Police and Public Safety","psychedelic health & safety","Devin Mullins","Kari Chisholm ",
"PPSAF","04/13/2026","","Telephone","Police and Public Safety","psychedelic health & safety","Devin Mullins","Kari Chisholm ",
"PPSAF","04/14/2026","","Email","Police and Public Safety","psychedelic health & safety","Devin Mullins","Kari Chisholm ",
"PPSAF","04/14/2026","","Email","Police and Public Safety","psychedelic health & safety","Devin Mullins","Kari Chisholm ",
"PPSAF","04/15/2026","","Text Message","Police and Public Safety","psychedelic health & safety","Devin Mullins","Kari Chisholm ",
"PPSAF","04/15/2026","","Text Message","Police and Public Safety","psychedelic health & safety","Devin Mullins","Courtney Moran; Kari Chisholm ",
"PPSAF","04/16/2026","","Email","Police and Public Safety","psychedelic health & safety","Devin Mullins","Courtney Moran; Kari Chisholm ",
"PPSAF","04/17/2026","","Text Message","Police and Public Safety","psychedelic health & safety","Devin Mullins","Kari Chisholm ",
"PPSAF","04/17/2026","","Telephone","Police and Public Safety","psychedelic health & safety","Devin Mullins","Kari Chisholm ",
"PPSAF","04/21/2026","","Text Message","Police and Public Safety","psychedelic health & safety","Devin Mullins","Kari Chisholm ",
"PPSAF","04/22/2026","","Email","Police and Public Safety","psychedelic health & safety","Devin Mullins","Courtney Moran; Kari Chisholm ",
"PPSAF","04/29/2026","","Email","Police and Public Safety","psychedelic health & safety","Devin Mullins","Courtney Moran; Kari Chisholm ",
"PPSAF","04/29/2026","","Text Message","Police and Public Safety","psychedelic health & safety","Devin Mullins","Kari Chisholm ",
"PPSAF","04/30/2026","","Text Message","Police and Public Safety","psychedelic health & safety","Devin Mullins","Kari Chisholm ",
"PPSAF","05/04/2026","","Email","Police and Public Safety","psychedelic health & safety","Eva Stanganelli; Jamie Dunphy","Adriana Voss-Andreae; Courtney Moran; Max Kelemen; Nathan Howard",
"PPSAF","05/04/2026","","Email","Police and Public Safety","psychedelic health & safety","Candace Avalos; Lauren Jin; Sofia Diffee","Adriana Voss-Andreae; Courtney Moran; Max Kelemen; Nathan Howard",
"PPSAF","05/04/2026","","Email","Police and Public Safety","psychedelic health & safety","Angelita Morillo; Meredith Wadlington; Suzy Deuster","Adriana Voss-Andreae; Courtney Moran; Max Kelemen; Nathan Howard",
"PPSAF","05/04/2026","","Email","Police and Public Safety","psychedelic health & safety","Mary Li; Tiffany Koyama Lane","Adriana Voss-Andreae; Courtney Moran; Max Kelemen; Nathan Howard",
"PPSAF","05/04/2026","","Email","Police and Public Safety","psychedelic health & safety","Sameer Kanal; Shaniqua Henry-Davis","Adriana Voss-Andreae; Courtney Moran; Max Kelemen; Nathan Howard",
"PPSAF","05/04/2026","","Text Message","Police and Public Safety","psychedelic health & safety","Devin Mullins","Kari Chisholm ",
"PPSAF","05/04/2026","","Telephone","Police and Public Safety","psychedelic health & safety","Devin Mullins","Kari Chisholm ",
"PPSAF","05/07/2026","","Telephone","Police and Public Safety","psychedelic health & safety","Devin Mullins","Kari Chisholm ",
"PPSAF","05/07/2026","","Text Message","Police and Public Safety","psychedelic health & safety","Devin Mullins","Kari Chisholm ",
"PPSAF","05/07/2026","","Personal Meeting","Police and Public Safety","psychedelic health & safety","Eric Zimmerman","Kari Chisholm ",
"PPSAF","05/07/2026","","Personal Meeting","Police and Public Safety","psychedelic health & safety","Lorne Bulling","Kari Chisholm ",
"PPSAF","05/07/2026","","Email","Police and Public Safety","psychedelic health & safety","Candace Avalos; Lauren Jin; Sofia Diffee","Adriana Voss-Andreae; Courtney Moran; Max Kelemen; Nathan Howard",
"PPSAF","05/07/2026","","Email","Police and Public Safety","psychedelic health & safety","Angelita Morillo; Meredith Wadlington; Suzy Deuster","Adriana Voss-Andreae; Courtney Moran; Max Kelemen; Nathan Howard",
"PPSAF","05/07/2026","","Email","Police and Public Safety","psychedelic health & safety","Mary Li; Tiffany Koyama Lane","Adriana Voss-Andreae; Courtney Moran; Max Kelemen; Nathan Howard",
"PPSAF","05/07/2026","","Email","Police and Public Safety","psychedelic health & safety","Sameer Kanal; Shaniqua Henry-Davis","Adriana Voss-Andreae; Courtney Moran; Max Kelemen; Nathan Howard",
"PPSAF","05/09/2026","","Personal Meeting","Police and Public Safety","psychedelic health & safety","Elana Pirtle-Guiney","Kari Chisholm ",
"PPSAF","05/11/2026","","Email","Police and Public Safety","psychedelic health & safety","Devin Mullins","Kari Chisholm ",
"PPSAF","05/11/2026","","Email","Police and Public Safety","psychedelic health & safety","Elijah Crawford","Kari Chisholm ",
"PPSAF","05/11/2026","","Email","Police and Public Safety","psychedelic health & safety","Mary Li; Tiffany Koyama Lane","Adriana Voss-Andreae; Courtney Moran; Max Kelemen; Nathan Howard",
"PPSAF","05/14/2026","","Personal Meeting","Police and Public Safety","psychedelic health & safety","Meredith Wadlington","Adriana Voss-Andreae; Courtney Moran; Max Kelemen; Nathan Howard",
"PPSAF","05/14/2026","","Personal Meeting","Police and Public Safety","psychedelic health & safety","Christian Aguinaga ; Devin Mullins","Adriana Voss-Andreae; Courtney Moran; Max Kelemen; Nathan Howard",
"PPSAF","05/14/2026","","Text Message","Police and Public Safety","psychedelic health & safety","Devin Mullins","Courtney Moran; Kari Chisholm ",
"PPSAF","05/15/2026","","Text Message","Police and Public Safety","psychedelic health & safety","Devin Mullins","Courtney Moran; Kari Chisholm ",
"PPSAF","05/15/2026","","Email","Police and Public Safety","psychedelic health & safety","Angelita Morillo; Meredith Wadlington; Suzy Deuster","Adriana Voss-Andreae; Courtney Moran; Max Kelemen; Nathan Howard",
"PPSAF","05/18/2026","","Email","Police and Public Safety","psychedelic health & safety","Steve Novick","Adriana Voss-Andreae; Courtney Moran; Kari Chisholm ; Max Kelemen; Nathan Howard",
"PPSAF","05/18/2026","","Text Message","Police and Public Safety","psychedelic health & safety","Devin Mullins","Courtney Moran; Kari Chisholm ",
"PPSAF","05/18/2026","","Text Message","Police and Public Safety","psychedelic health & safety","Devin Mullins","Kari Chisholm ",
"PPSAF","05/20/2026","","Email","Police and Public Safety","psychedelic health & safety","Megan Beyer","Kari Chisholm ",
"PPSAF","05/20/2026","","Email","Police and Public Safety","psychedelic health & safety","Lorne Bulling","Kari Chisholm ",
"PPSAF","05/20/2026","","Email","Police and Public Safety","psychedelic health & safety","Kezia Wanner","Kari Chisholm ",
"PPSAF","05/21/2026","","Email","Police and Public Safety","psychedelic health & safety","Steve Novick","Adriana Voss-Andreae; Courtney Moran; Kari Chisholm ; Max Kelemen; Nathan Howard",
"PPSAF","05/21/2026","","Email","Police and Public Safety","psychedelic health & safety","Devin Mullins","Adriana Voss-Andreae; Courtney Moran; Kari Chisholm ; Max Kelemen; Nathan Howard",
"PPSAF","05/21/2026","","Text Message","Police and Public Safety","psychedelic health & safety","Devin Mullins","Courtney Moran; Kari Chisholm ",
"PPSAF","05/21/2026","","Virtual Meeting","Police and Public Safety","psychedelic health & safety","Mary Li","Adriana Voss-Andreae; Courtney Moran; Max Kelemen; Nathan Howard",
"PPSAF","05/26/2026","","Text Message","Police and Public Safety","psychedelic health & safety","Devin Mullins","Courtney Moran; Kari Chisholm ",
"PPSAF","05/26/2026","","Personal Meeting","Police and Public Safety","psychedelic health & safety","Christian Aguinaga ","Adriana Voss-Andreae; Kari Chisholm ",
"PPSAF","05/26/2026","","Personal Meeting","Police and Public Safety","psychedelic health & safety","Spencer Knowles","Adriana Voss-Andreae; Courtney Moran; Kari Chisholm ",
